repo,n,resolved,rate,ci_lo,ci_hi
django/django,231,177,0.7662337662337663,0.7075746168850627,0.8161829878663716
sympy/sympy,75,57,0.76,0.6522123375924644,0.8424512639362509
sphinx-doc/sphinx,44,30,0.6818181818181818,0.5344310381914017,0.8000069236546012
matplotlib/matplotlib,34,23,0.6764705882352942,0.5084289446060363,0.8086835651849452
scikit-learn/scikit-learn,32,27,0.84375,0.6824585025525295,0.9313557976092527
astropy/astropy,22,13,0.5909090909090909,0.387348183298974,0.7674418391364541
pydata/xarray,22,18,0.8181818181818182,0.6148339238492879,0.9269311546747105
pytest-dev/pytest,19,16,0.8421052631578947,0.6243452453548595,0.9447952840464915
pylint-dev/pylint,10,3,0.3,0.10779126655639398,0.6032218546540291
psf/requests,8,8,1.0,0.6755924316585924,1.0
mwaskom/seaborn,2,1,0.5,0.09453120463920084,0.9054687953607992
pallets/flask,1,1,1.0,0.2065493117918027,1.0
