year,n,resolved,rate,ci_lo,ci_hi
2013,3,3,1.0,0.43850296436068037,1.0
2014,2,2,1.0,0.3423802239546494,1.0
2015,1,1,1.0,0.2065493117918027,1.0
2016,2,1,0.5,0.09453120463920084,0.9054687953607992
2017,16,15,0.9375,0.716712622018518,0.9888806553587528
2018,24,18,0.75,0.5510055583116656,0.8800063384126703
2019,98,77,0.7857142857142857,0.6945197250735186,0.8553545659583123
2020,108,81,0.75,0.6607046481575725,0.822121671707527
2021,86,57,0.6627906976744186,0.5578256067408826,0.7538345148628337
2022,102,77,0.7549019607843137,0.6631824165875374,0.8281184455662939
2023,58,42,0.7241379310344828,0.5979534470559322,0.8224764792481467
