peer,repo,both,kozuchi_only,peer_only,neither,repo_n
Sonar + Claude-Opus-4.5,astropy/astropy,12,1,0,9,22
Sonar + Claude-Opus-4.5,django/django,168,9,23,31,231
Sonar + Claude-Opus-4.5,matplotlib/matplotlib,23,0,4,7,34
Sonar + Claude-Opus-4.5,mwaskom/seaborn,1,0,0,1,2
Sonar + Claude-Opus-4.5,pallets/flask,1,0,0,0,1
Sonar + Claude-Opus-4.5,psf/requests,5,3,0,0,8
Sonar + Claude-Opus-4.5,pydata/xarray,18,0,1,3,22
Sonar + Claude-Opus-4.5,pylint-dev/pylint,2,1,2,5,10
Sonar + Claude-Opus-4.5,pytest-dev/pytest,16,0,2,1,19
Sonar + Claude-Opus-4.5,scikit-learn/scikit-learn,27,0,3,2,32
Sonar + Claude-Opus-4.5,sphinx-doc/sphinx,28,2,2,12,44
Sonar + Claude-Opus-4.5,sympy/sympy,53,4,5,13,75
