peer,repo,both,kozuchi_only,peer_only,neither,repo_n
OpenHands + Qwen3-Coder-480B,astropy/astropy,10,3,0,9,22
OpenHands + Qwen3-Coder-480B,django/django,148,29,17,37,231
OpenHands + Qwen3-Coder-480B,matplotlib/matplotlib,18,5,2,9,34
OpenHands + Qwen3-Coder-480B,mwaskom/seaborn,1,0,0,1,2
OpenHands + Qwen3-Coder-480B,pallets/flask,1,0,0,0,1
OpenHands + Qwen3-Coder-480B,psf/requests,6,2,0,0,8
OpenHands + Qwen3-Coder-480B,pydata/xarray,16,2,1,3,22
OpenHands + Qwen3-Coder-480B,pylint-dev/pylint,1,2,2,5,10
OpenHands + Qwen3-Coder-480B,pytest-dev/pytest,14,2,1,2,19
OpenHands + Qwen3-Coder-480B,scikit-learn/scikit-learn,26,1,1,4,32
OpenHands + Qwen3-Coder-480B,sphinx-doc/sphinx,25,5,5,9,44
OpenHands + Qwen3-Coder-480B,sympy/sympy,50,7,3,15,75
