submission_dir,instance_id
20231010_rag_claude2,django__django-10914
20231010_rag_claude2,django__django-11099
20231010_rag_claude2,django__django-11603
20231010_rag_claude2,django__django-12155
20231010_rag_claude2,django__django-13089
20231010_rag_claude2,django__django-13343
20231010_rag_claude2,django__django-13658
20231010_rag_claude2,django__django-13670
20231010_rag_claude2,django__django-14608
20231010_rag_claude2,django__django-16255
20231010_rag_claude2,django__django-16569
20231010_rag_claude2,django__django-16899
20231010_rag_claude2,django__django-7530
20231010_rag_claude2,django__django-9296
20231010_rag_claude2,psf__requests-1766
20231010_rag_claude2,pylint-dev__pylint-7277
20231010_rag_claude2,pytest-dev__pytest-5809
20231010_rag_claude2,scikit-learn__scikit-learn-12585
20231010_rag_claude2,scikit-learn__scikit-learn-13439
20231010_rag_claude2,scikit-learn__scikit-learn-13779
20231010_rag_claude2,scikit-learn__scikit-learn-14496
20231010_rag_claude2,scikit-learn__scikit-learn-25232
20231010_rag_gpt35,django__django-16255
20231010_rag_gpt35,scikit-learn__scikit-learn-14710
20231010_rag_swellama13b,django__django-12155
20231010_rag_swellama13b,django__django-17029
20231010_rag_swellama13b,pydata__xarray-7393
20231010_rag_swellama13b,pytest-dev__pytest-7982
20231010_rag_swellama13b,sympy__sympy-15809
20231010_rag_swellama13b,sympy__sympy-24213
20231010_rag_swellama7b,django__django-10097
20231010_rag_swellama7b,django__django-12155
20231010_rag_swellama7b,django__django-14855
20231010_rag_swellama7b,django__django-7530
20231010_rag_swellama7b,pydata__xarray-7393
20231010_rag_swellama7b,pytest-dev__pytest-8399
20231010_rag_swellama7b,sympy__sympy-15809
20240402_rag_claude3opus,astropy__astropy-14309
20240402_rag_claude3opus,astropy__astropy-7671
20240402_rag_claude3opus,django__django-10914
20240402_rag_claude3opus,django__django-11099
20240402_rag_claude3opus,django__django-11133
20240402_rag_claude3opus,django__django-11451
20240402_rag_claude3opus,django__django-11603
20240402_rag_claude3opus,django__django-12276
20240402_rag_claude3opus,django__django-12304
20240402_rag_claude3opus,django__django-13089
20240402_rag_claude3opus,django__django-13658
20240402_rag_claude3opus,django__django-13741
20240402_rag_claude3opus,django__django-13809
20240402_rag_claude3opus,django__django-14373
20240402_rag_claude3opus,django__django-14539
20240402_rag_claude3opus,django__django-14765
20240402_rag_claude3opus,django__django-15525
20240402_rag_claude3opus,django__django-15731
20240402_rag_claude3opus,django__django-16527
20240402_rag_claude3opus,django__django-16569
20240402_rag_claude3opus,django__django-17029
20240402_rag_claude3opus,django__django-9296
20240402_rag_claude3opus,pylint-dev__pylint-6903
20240402_rag_claude3opus,pylint-dev__pylint-7277
20240402_rag_claude3opus,pytest-dev__pytest-5809
20240402_rag_claude3opus,scikit-learn__scikit-learn-10844
20240402_rag_claude3opus,scikit-learn__scikit-learn-12585
20240402_rag_claude3opus,scikit-learn__scikit-learn-13328
20240402_rag_claude3opus,scikit-learn__scikit-learn-13439
20240402_rag_claude3opus,scikit-learn__scikit-learn-14141
20240402_rag_claude3opus,scikit-learn__scikit-learn-14710
20240402_rag_claude3opus,sympy__sympy-14711
20240402_rag_claude3opus,sympy__sympy-19637
20240402_rag_claude3opus,sympy__sympy-21847
20240402_rag_claude3opus,sympy__sympy-24213
20240402_rag_gpt4,astropy__astropy-14309
20240402_rag_gpt4,django__django-11066
20240402_rag_gpt4,django__django-11119
20240402_rag_gpt4,django__django-11133
20240402_rag_gpt4,django__django-11451
