api_call_budget,n_attempted,n_resolved,resolved_share_of_500,resolved_share_of_374,attempted_share_of_500
50,0,0,0.0,0.0,0.0
71,0,0,0.0,0.0,0.0
92,0,0,0.0,0.0,0.0
112,0,0,0.0,0.0,0.0
133,0,0,0.0,0.0,0.0
154,0,0,0.0,0.0,0.0
175,0,0,0.0,0.0,0.0
196,0,0,0.0,0.0,0.0
216,0,0,0.0,0.0,0.0
237,0,0,0.0,0.0,0.0
258,0,0,0.0,0.0,0.0
279,0,0,0.0,0.0,0.0
300,1,1,0.002,0.00267379679144385,0.002
320,4,3,0.006,0.008021390374331552,0.008
341,11,9,0.018,0.02406417112299465,0.022
362,29,24,0.048,0.06417112299465241,0.058
383,52,46,0.092,0.12299465240641712,0.104
404,100,83,0.166,0.22192513368983957,0.2
424,137,111,0.222,0.2967914438502674,0.274
445,172,140,0.28,0.37433155080213903,0.344
466,218,174,0.348,0.46524064171123,0.436
487,245,198,0.396,0.5294117647058824,0.49
508,278,222,0.444,0.5935828877005348,0.556
528,303,235,0.47,0.6283422459893048,0.606
549,325,253,0.506,0.6764705882352942,0.65
570,346,267,0.534,0.713903743315508,0.692
591,359,276,0.552,0.7379679144385026,0.718
612,373,285,0.57,0.7620320855614974,0.746
632,384,294,0.588,0.786096256684492,0.768
653,394,302,0.604,0.8074866310160428,0.788
674,400,307,0.614,0.820855614973262,0.8
695,412,316,0.632,0.8449197860962567,0.824
716,424,324,0.648,0.8663101604278075,0.848
736,427,326,0.652,0.8716577540106952,0.854
757,431,330,0.66,0.8823529411764706,0.862
778,437,335,0.67,0.8957219251336899,0.874
799,440,336,0.672,0.8983957219251337,0.88
820,445,339,0.678,0.9064171122994652,0.89
840,447,341,0.682,0.9117647058823529,0.894
861,448,342,0.684,0.9144385026737968,0.896
882,451,345,0.69,0.9224598930481284,0.902
903,452,346,0.692,0.9251336898395722,0.904
923,454,347,0.694,0.9278074866310161,0.908
944,456,349,0.698,0.9331550802139037,0.912
965,456,349,0.698,0.9331550802139037,0.912
986,460,352,0.704,0.9411764705882353,0.92
1007,461,353,0.706,0.9438502673796791,0.922
1027,462,354,0.708,0.946524064171123,0.924
1048,463,355,0.71,0.9491978609625669,0.926
1069,466,358,0.716,0.9572192513368984,0.932
1090,467,358,0.716,0.9572192513368984,0.934
1111,471,361,0.722,0.9652406417112299,0.942
1131,472,361,0.722,0.9652406417112299,0.944
1152,473,361,0.722,0.9652406417112299,0.946
1173,473,361,0.722,0.9652406417112299,0.946
1194,474,362,0.724,0.9679144385026738,0.948
1215,478,366,0.732,0.9786096256684492,0.956
1235,478,366,0.732,0.9786096256684492,0.956
1256,478,366,0.732,0.9786096256684492,0.956
1277,478,366,0.732,0.9786096256684492,0.956
1298,479,366,0.732,0.9786096256684492,0.958
1319,479,366,0.732,0.9786096256684492,0.958
1339,480,367,0.734,0.9812834224598931,0.96
1360,481,368,0.736,0.983957219251337,0.962
1381,481,368,0.736,0.983957219251337,0.962
1402,482,368,0.736,0.983957219251337,0.964
1423,483,369,0.738,0.9866310160427807,0.966
1443,484,369,0.738,0.9866310160427807,0.968
1464,485,370,0.74,0.9893048128342246,0.97
1485,485,370,0.74,0.9893048128342246,0.97
1506,485,370,0.74,0.9893048128342246,0.97
1527,486,370,0.74,0.9893048128342246,0.972
1547,487,371,0.742,0.9919786096256684,0.974
1568,488,372,0.744,0.9946524064171123,0.976
1589,491,373,0.746,0.9973262032085561,0.982
1610,492,373,0.746,0.9973262032085561,0.984
1631,493,373,0.746,0.9973262032085561,0.986
1651,493,373,0.746,0.9973262032085561,0.986
1672,494,374,0.748,1.0,0.988
1693,495,374,0.748,1.0,0.99
