category,total,share,resolved_calls,unresolved_calls,p50_per_instance,mean_per_instance
file_io,62922,0.4285831051534595,46668,16254,111.0,127.11515151515151
exec,28757,0.19587369051997766,20887,7870,47.0,58.094949494949496
other,16297,0.11100440012532865,11899,4398,28.0,32.92323232323233
search,14896,0.10146171346056916,10904,3992,26.0,30.09292929292929
shell_env,11070,0.07540152846458785,8142,2928,19.0,22.363636363636363
edit,8374,0.05703815712398,6166,2208,14.0,16.917171717171716
vcs,4445,0.030276404157641643,3181,1264,7.0,8.97979797979798
pkg,34,0.00023158554361300693,31,3,0.0,0.06868686868686869
test,19,0.0001294154508425627,5,14,0.0,0.03838383838383838
infra,0,0.0,0,0,0.0,0.0
