verb,total,share_of_calls,instances_used,instance_share,resolved_calls,unresolved_calls,resolved_instances,unresolved_instances,instance_share_resolved,instance_share_unresolved
cat,51823,0.35298404784284876,495,1.0,38372,13451,374,121,1.0,1.0
python,24183,0.1647186235645102,495,1.0,17751,6432,374,121,1.0,1.0
nl,12168,0.08288037925538437,494,0.997979797979798,8783,3385,373,121,0.9973262032085561,1.0
grep,11855,0.0807484299862411,494,0.997979797979798,8610,3245,374,120,1.0,0.9917355371900827
cd,11040,0.07519718827904696,495,1.0,8118,2922,374,121,1.0,1.0
ls,9282,0.06322285340635089,495,1.0,6971,2311,374,121,1.0,1.0
echo,5437,0.03703325295952702,495,1.0,4065,1372,374,121,1.0,1.0
git,4445,0.030276404157641643,495,1.0,3181,1264,374,121,1.0,1.0
bash,4356,0.029670194940537006,493,0.9959595959595959,3008,1348,372,121,0.9946524064171123,1.0
find,3041,0.020713283474328062,483,0.9757575757575757,2294,747,367,116,0.9812834224598931,0.9586776859504132
sed,2911,0.01982780933698421,434,0.8767676767676768,2084,827,326,108,0.8716577540106952,0.8925619834710744
test_fail_to_pass_all.sh,1531,0.010428160802103341,454,0.9171717171717172,1159,372,346,108,0.9251336898395722,0.8925619834710744
test_pass_to_pass_all.sh,1431,0.00974702685030038,443,0.8949494949494949,1095,336,337,106,0.9010695187165776,0.8760330578512396
#,1080,0.007356246679471985,443,0.8949494949494949,787,293,334,109,0.893048128342246,0.9008264462809917
head,949,0.006463961202610106,364,0.7353535353535353,698,251,270,94,0.7219251336898396,0.7768595041322314
tail,383,0.002608743035405343,231,0.4666666666666667,286,97,174,57,0.46524064171123,0.47107438016528924
wc,218,0.0014848720149304563,153,0.3090909090909091,154,64,112,41,0.2994652406417112,0.33884297520661155
python3,218,0.0014848720149304563,33,0.06666666666666667,128,90,24,9,0.06417112299465241,0.0743801652892562
rm,109,0.0007424360074652282,77,0.15555555555555556,84,25,58,19,0.15508021390374332,0.15702479338842976
cp,80,0.0005449071614423692,32,0.06464646464646465,55,25,19,13,0.05080213903743316,0.10743801652892562
mkdir,66,0.00044954840818995463,29,0.05858585858585859,37,29,20,9,0.053475935828877004,0.0743801652892562
timeout,48,0.00032694429686542153,13,0.026262626262626262,42,6,9,4,0.02406417112299465,0.03305785123966942
pip,33,0.00022477420409497731,26,0.052525252525252523,30,3,23,3,0.06149732620320856,0.024793388429752067
which,27,0.00018390616698679962,26,0.052525252525252523,21,6,20,6,0.053475935828877004,0.049586776859504134
awk,26,0.00017709482746877,21,0.04242424242424243,17,9,15,6,0.040106951871657755,0.049586776859504134
pytest,19,0.0001294154508425627,4,0.00808080808080808,5,14,2,2,0.0053475935828877,0.01652892561983471
for,13,8.8547413734385e-05,7,0.014141414141414142,13,0,7,0,0.01871657754010695,0.0
chmod,6,4.086803710817769e-05,3,0.006060606060606061,6,0,3,0,0.008021390374331552,0.0
test,6,4.086803710817769e-05,1,0.00202020202020202,0,6,0,1,0.0,0.008264462809917356
mv,5,3.4056697590148075e-05,4,0.00808080808080808,4,1,3,1,0.008021390374331552,0.008264462809917356
