marker,total,p50_per_instance,mean_per_instance,share_instances_with_any,resolved_total,unresolved_total
TypeError,17296,4.0,34.94141414141414,0.7232323232323232,13955,3341
ValueError,17267,8.0,34.882828282828285,0.8444444444444444,14464,2803
Traceback,7350,9.0,14.848484848484848,0.9555555555555556,5203,2147
AssertionError,7350,5.0,14.848484848484848,0.7838383838383839,5267,2083
AttributeError,6490,3.0,13.11111111111111,0.7555555555555555,4752,1738
KeyError,2374,0.0,4.795959595959596,0.3595959595959596,1783,591
ImportError,2300,2.0,4.646464646464646,0.6585858585858586,1659,641
RuntimeError,1591,1.0,3.214141414141414,0.5575757575757576,1248,343
ModuleNotFoundError,1422,1.0,2.8727272727272726,0.5252525252525253,1047,375
SyntaxError,928,0.0,1.8747474747474748,0.19797979797979798,740,188
NameError,829,0.0,1.6747474747474747,0.14343434343434344,801,28
FileNotFoundError,521,0.0,1.0525252525252524,0.397979797979798,373,148
IndentationError,35,0.0,0.0707070707070707,0.046464646464646465,22,13
