rank_dim,instance_id,repo,resolved,metric_name,metric_value,n_messages,n_bash_total,n_workflow_giveup,error_marker_total
longest_conversation,matplotlib__matplotlib-25122,matplotlib/matplotlib,1,n_messages,1957.0,1957,883,12,95
longest_conversation,django__django-11087,django/django,0,n_messages,1941.0,1941,888,9,342
longest_conversation,django__django-15561,django/django,0,n_messages,1834.0,1834,830,8,52
longest_conversation,django__django-13344,django/django,0,n_messages,1819.0,1819,825,9,224
longest_conversation,django__django-12858,django/django,1,n_messages,1785.0,1785,813,11,293
longest_conversation,django__django-13089,django/django,0,n_messages,1775.0,1775,805,10,1630
longest_conversation,django__django-15629,django/django,0,n_messages,1754.0,1754,832,2,145
longest_conversation,django__django-15252,django/django,0,n_messages,1754.0,1754,803,5,248
longest_conversation,django__django-11138,django/django,1,n_messages,1744.0,1744,807,7,183
longest_conversation,django__django-11734,django/django,1,n_messages,1727.0,1727,773,1,295
shortest_conversation,sphinx-doc__sphinx-9367,sphinx-doc/sphinx,1,n_messages,364.0,364,162,0,62
shortest_conversation,django__django-14373,django/django,1,n_messages,374.0,374,167,0,24
shortest_conversation,scikit-learn__scikit-learn-14053,scikit-learn/scikit-learn,1,n_messages,378.0,378,169,0,69
shortest_conversation,django__django-10999,django/django,0,n_messages,378.0,378,169,0,32
shortest_conversation,matplotlib__matplotlib-22719,matplotlib/matplotlib,1,n_messages,390.0,390,175,0,100
shortest_conversation,scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,1,n_messages,394.0,394,177,0,70
shortest_conversation,django__django-11239,django/django,0,n_messages,394.0,394,177,0,15
shortest_conversation,sympy__sympy-19637,sympy/sympy,1,n_messages,396.0,396,178,0,101
shortest_conversation,django__django-14089,django/django,1,n_messages,398.0,398,179,0,293
shortest_conversation,scikit-learn__scikit-learn-14894,scikit-learn/scikit-learn,1,n_messages,402.0,402,181,0,36
most_bash_calls,django__django-11087,django/django,0,n_bash_total,888.0,1941,888,9,342
most_bash_calls,matplotlib__matplotlib-25122,matplotlib/matplotlib,1,n_bash_total,883.0,1957,883,12,95
most_bash_calls,django__django-15629,django/django,0,n_bash_total,832.0,1754,832,2,145
most_bash_calls,django__django-15561,django/django,0,n_bash_total,830.0,1834,830,8,52
most_bash_calls,django__django-13344,django/django,0,n_bash_total,825.0,1819,825,9,224
most_bash_calls,django__django-12858,django/django,1,n_bash_total,813.0,1785,813,11,293
most_bash_calls,django__django-11138,django/django,1,n_bash_total,807.0,1744,807,7,183
most_bash_calls,django__django-13089,django/django,0,n_bash_total,805.0,1775,805,10,1630
most_bash_calls,django__django-15252,django/django,0,n_bash_total,803.0,1754,803,5,248
most_bash_calls,django__django-11734,django/django,1,n_bash_total,773.0,1727,773,1,295
highest_rc_failure_rate,django__django-14011,django/django,0,rc_failure_rate,0.13915857605177995,670,314,0,58
highest_rc_failure_rate,django__django-16661,django/django,1,rc_failure_rate,0.1349036402569593,1018,476,0,87
highest_rc_failure_rate,sympy__sympy-23413,sympy/sympy,0,rc_failure_rate,0.12233285917496443,1585,719,2,398
highest_rc_failure_rate,django__django-16938,django/django,1,rc_failure_rate,0.11260504201680673,1316,623,1,147
highest_rc_failure_rate,django__django-14539,django/django,1,rc_failure_rate,0.10857142857142857,762,358,0,30
highest_rc_failure_rate,django__django-13315,django/django,1,rc_failure_rate,0.10218978102189781,610,285,0,22
highest_rc_failure_rate,django__django-15916,django/django,1,rc_failure_rate,0.10097719869706841,670,310,0,62
highest_rc_failure_rate,django__django-16116,django/django,1,rc_failure_rate,0.10094637223974763,684,321,0,127
highest_rc_failure_rate,django__django-16333,django/django,1,rc_failure_rate,0.09931506849315068,649,301,0,113
highest_rc_failure_rate,django__django-13925,django/django,1,rc_failure_rate,0.09765625,566,263,0,42
most_traceback_signals,django__django-13089,django/django,0,error_marker_total,1630.0,1775,805,10,1630
most_traceback_signals,astropy__astropy-7671,astropy/astropy,1,error_marker_total,1208.0,1293,582,10,1208
most_traceback_signals,django__django-16255,django/django,1,error_marker_total,1073.0,468,214,0,1073
most_traceback_signals,pytest-dev__pytest-5631,pytest-dev/pytest,1,error_marker_total,1038.0,992,449,3,1038
most_traceback_signals,django__django-14017,django/django,1,error_marker_total,1020.0,1155,534,4,1020
most_traceback_signals,django__django-13023,django/django,1,error_marker_total,925.0,480,220,0,925
most_traceback_signals,pydata__xarray-4356,pydata/xarray,1,error_marker_total,820.0,991,455,2,820
most_traceback_signals,sympy__sympy-12096,sympy/sympy,1,error_marker_total,651.0,1023,464,5,651
most_traceback_signals,pytest-dev__pytest-5787,pytest-dev/pytest,1,error_marker_total,648.0,562,261,0,648
most_traceback_signals,sympy__sympy-22714,sympy/sympy,1,error_marker_total,641.0,952,435,2,641
most_giveups,matplotlib__matplotlib-25122,matplotlib/matplotlib,1,n_workflow_giveup,12.0,1957,883,12,95
most_giveups,django__django-14170,django/django,0,n_workflow_giveup,11.0,1517,685,11,220
most_giveups,django__django-12858,django/django,1,n_workflow_giveup,11.0,1785,813,11,293
most_giveups,astropy__astropy-7671,astropy/astropy,1,n_workflow_giveup,10.0,1293,582,10,1208
most_giveups,django__django-13089,django/django,0,n_workflow_giveup,10.0,1775,805,10,1630
most_giveups,django__django-13344,django/django,0,n_workflow_giveup,9.0,1819,825,9,224
most_giveups,django__django-11066,django/django,1,n_workflow_giveup,9.0,1262,564,9,39
most_giveups,django__django-11087,django/django,0,n_workflow_giveup,9.0,1941,888,9,342
most_giveups,django__django-15561,django/django,0,n_workflow_giveup,8.0,1834,830,8,52
most_giveups,django__django-12741,django/django,1,n_workflow_giveup,7.0,1285,582,7,258
most_thought_per_action,django__django-11734,django/django,1,thought_action_ratio,0.6966016193607673,1727,773,1,295
most_thought_per_action,sympy__sympy-20590,sympy/sympy,1,thought_action_ratio,0.6028561173701613,1297,614,1,298
most_thought_per_action,matplotlib__matplotlib-23299,matplotlib/matplotlib,0,thought_action_ratio,0.5372977688713063,771,362,0,150
most_thought_per_action,sympy__sympy-15809,sympy/sympy,1,thought_action_ratio,0.5185199771577103,567,259,0,623
most_thought_per_action,sphinx-doc__sphinx-9230,sphinx-doc/sphinx,1,thought_action_ratio,0.5062723740170731,572,265,0,98
most_thought_per_action,sympy__sympy-18211,sympy/sympy,1,thought_action_ratio,0.502730209031629,567,260,0,73
most_thought_per_action,sympy__sympy-22456,sympy/sympy,1,thought_action_ratio,0.4976752956705697,606,280,0,123
most_thought_per_action,django__django-12209,django/django,1,thought_action_ratio,0.4970620863777208,858,400,1,68
most_thought_per_action,sympy__sympy-21930,sympy/sympy,0,thought_action_ratio,0.4940887820417693,927,427,2,11
most_thought_per_action,pydata__xarray-6461,pydata/xarray,1,thought_action_ratio,0.4875474702927845,512,236,0,15
most_action_per_thought,django__django-13837,django/django,1,thought_action_ratio,0.21944821886337848,434,197,0,107
most_action_per_thought,scikit-learn__scikit-learn-11578,scikit-learn/scikit-learn,1,thought_action_ratio,0.2250544842616348,424,192,0,20
most_action_per_thought,django__django-15503,django/django,1,thought_action_ratio,0.2274049257352079,782,363,1,177
most_action_per_thought,django__django-13551,django/django,0,thought_action_ratio,0.24468210346628994,448,204,0,34
most_action_per_thought,django__django-15104,django/django,1,thought_action_ratio,0.2503828353926652,498,228,0,358
most_action_per_thought,django__django-14999,django/django,1,thought_action_ratio,0.2504706595036945,502,231,0,38
most_action_per_thought,scikit-learn__scikit-learn-25102,scikit-learn/scikit-learn,1,thought_action_ratio,0.2536028990769317,504,230,0,85
most_action_per_thought,django__django-16256,django/django,0,thought_action_ratio,0.2539140674236812,1272,583,3,194
most_action_per_thought,sphinx-doc__sphinx-7889,sphinx-doc/sphinx,1,thought_action_ratio,0.2545913952723151,454,207,0,383
most_action_per_thought,astropy__astropy-13398,astropy/astropy,0,thought_action_ratio,0.25725350399136937,586,273,0,48
largest_single_tool_output,django__django-12155,django/django,1,output_max_chars,29981.0,1504,692,6,168
largest_single_tool_output,pytest-dev__pytest-5631,pytest-dev/pytest,1,output_max_chars,29971.0,992,449,3,1038
largest_single_tool_output,astropy__astropy-8707,astropy/astropy,0,output_max_chars,29934.0,1245,577,3,557
largest_single_tool_output,pylint-dev__pylint-4970,pylint-dev/pylint,0,output_max_chars,29910.0,584,272,0,14
largest_single_tool_output,sympy__sympy-16886,sympy/sympy,1,output_max_chars,29857.0,416,188,0,68
largest_single_tool_output,django__django-14580,django/django,1,output_max_chars,29783.0,1109,512,4,586
largest_single_tool_output,matplotlib__matplotlib-25122,matplotlib/matplotlib,1,output_max_chars,29770.0,1957,883,12,95
largest_single_tool_output,django__django-11451,django/django,1,output_max_chars,29764.0,522,241,0,61
largest_single_tool_output,pytest-dev__pytest-7571,pytest-dev/pytest,1,output_max_chars,29763.0,488,224,0,51
largest_single_tool_output,django__django-15252,django/django,0,output_max_chars,29727.0,1754,803,5,248
most_reflective,matplotlib__matplotlib-25122,matplotlib/matplotlib,1,reflect_marker_total,444.0,1957,883,12,95
most_reflective,django__django-12858,django/django,1,reflect_marker_total,368.0,1785,813,11,293
most_reflective,django__django-13344,django/django,0,reflect_marker_total,334.0,1819,825,9,224
most_reflective,django__django-15561,django/django,0,reflect_marker_total,320.0,1834,830,8,52
most_reflective,django__django-15629,django/django,0,reflect_marker_total,320.0,1754,832,2,145
most_reflective,django__django-11087,django/django,0,reflect_marker_total,318.0,1941,888,9,342
most_reflective,django__django-13089,django/django,0,reflect_marker_total,316.0,1775,805,10,1630
most_reflective,django__django-11138,django/django,1,reflect_marker_total,306.0,1744,807,7,183
most_reflective,django__django-14017,django/django,1,reflect_marker_total,300.0,1155,534,4,1020
most_reflective,django__django-14170,django/django,0,reflect_marker_total,289.0,1517,685,11,220
