marker,total,p50_per_instance,mean_per_instance,share_instances_with_any,resolved_total,unresolved_total
let_me_try,20999,33.0,42.422222222222224,1.0,15099,5900
i_expect,18373,31.0,37.117171717171715,1.0,14010,4363
i_will_check,5453,9.0,11.016161616161616,1.0,4086,1367
should_have,3147,2.0,6.357575757575757,0.6747474747474748,2482,665
however,2810,3.0,5.6767676767676765,0.8161616161616162,2030,780
going_back,1383,0.0,2.793939393939394,0.3717171717171717,877,506
alternatively,822,1.0,1.6606060606060606,0.593939393939394,612,210
i_realised,481,1.0,0.9717171717171718,0.5575757575757576,361,120
wait,5,0.0,0.010101010101010102,0.010101010101010102,2,3
not_sure,1,0.0,0.00202020202020202,0.00202020202020202,1,0
hmm,0,0.0,0.0,0.0,0,0
