instance_id,repo,resolved,rc_zero,rc_nonzero,rc_failure_rate
astropy__astropy-12907,astropy/astropy,1,242,10,0.03968253968253968
astropy__astropy-13033,astropy/astropy,0,191,8,0.04020100502512563
astropy__astropy-13236,astropy/astropy,0,253,9,0.03435114503816794
astropy__astropy-13398,astropy/astropy,0,254,12,0.045112781954887216
astropy__astropy-13453,astropy/astropy,1,270,15,0.05263157894736842
astropy__astropy-13579,astropy/astropy,1,309,19,0.057926829268292686
astropy__astropy-13977,astropy/astropy,0,201,4,0.01951219512195122
astropy__astropy-14096,astropy/astropy,1,184,3,0.016042780748663103
astropy__astropy-14182,astropy/astropy,0,240,15,0.058823529411764705
astropy__astropy-14309,astropy/astropy,1,317,11,0.03353658536585366
astropy__astropy-14365,astropy/astropy,1,380,14,0.03553299492385787
astropy__astropy-14369,astropy/astropy,1,223,9,0.03879310344827586
astropy__astropy-14508,astropy/astropy,1,311,19,0.05757575757575758
astropy__astropy-14539,astropy/astropy,1,323,8,0.02416918429003021
astropy__astropy-14598,astropy/astropy,0,271,7,0.025179856115107913
astropy__astropy-14995,astropy/astropy,1,191,6,0.030456852791878174
astropy__astropy-7166,astropy/astropy,1,175,8,0.04371584699453552
astropy__astropy-7336,astropy/astropy,1,211,9,0.04090909090909091
astropy__astropy-7606,astropy/astropy,0,186,9,0.046153846153846156
astropy__astropy-7671,astropy/astropy,1,528,16,0.029411764705882353
astropy__astropy-8707,astropy/astropy,0,540,27,0.047619047619047616
astropy__astropy-8872,astropy/astropy,0,205,2,0.00966183574879227
django__django-10554,django/django,0,309,8,0.025236593059936908
django__django-10880,django/django,1,236,13,0.05220883534136546
django__django-10914,django/django,1,237,14,0.055776892430278883
django__django-10973,django/django,1,185,12,0.06091370558375635
django__django-10999,django/django,0,160,4,0.024390243902439025
django__django-11066,django/django,1,523,19,0.03505535055350553
django__django-11087,django/django,0,821,38,0.04423748544819558
django__django-11095,django/django,1,239,11,0.044
django__django-11099,django/django,1,170,12,0.06593406593406594
django__django-11119,django/django,1,213,11,0.049107142857142856
django__django-11133,django/django,1,195,5,0.025
django__django-11138,django/django,1,744,43,0.054637865311308764
django__django-11141,django/django,1,226,13,0.05439330543933055
django__django-11149,django/django,1,218,7,0.03111111111111111
django__django-11163,django/django,1,199,7,0.03398058252427184
django__django-11179,django/django,1,205,6,0.02843601895734597
django__django-11206,django/django,1,273,12,0.042105263157894736
django__django-11211,django/django,1,298,10,0.032467532467532464
django__django-11239,django/django,0,165,8,0.046242774566473986
django__django-11265,django/django,1,665,60,0.08275862068965517
django__django-11276,django/django,1,332,26,0.07262569832402235
django__django-11292,django/django,1,235,11,0.044715447154471545
django__django-11299,django/django,1,253,11,0.041666666666666664
django__django-11333,django/django,1,241,20,0.07662835249042145
django__django-11400,django/django,0,239,17,0.06640625
