outcome,phase,n_instances,p50_msgs,mean_thought_chars_per_msg,mean_action_chars_per_msg,thought_action_ratio
all,ISSUE_REPRODUCT,495,35.0,263.11150701803354,824.6068839857941,0.3190750794442389
all,TEST_SYNTHSIZE,495,33.0,296.6050143900381,1362.2540893524945,0.21773105084310676
all,CODE_LOCALIZE,495,26.0,324.23528235184,927.7915258673997,0.34946997607971236
all,TEST_LOCALIZE,495,49.0,288.7924415061364,777.6567746779066,0.37136234250097
all,CODE_FIX,495,41.0,285.3606607149922,783.0998602206226,0.36439881451976963
all,VERIFY_PATCH,495,25.0,337.77851666952023,1038.380340735614,0.3252936360777301
all,ISSUE_CLOSE,495,23.0,327.06194656353216,907.1721834450329,0.3605290732366789
all,FINAL_REPORT,495,10.0,320.9169921934539,374.07268529054625,0.8579000948550795
resolved,ISSUE_REPRODUCT,374,35.0,263.70180372755476,809.0228694252957,0.3259509881530051
resolved,TEST_SYNTHSIZE,374,33.0,298.1290260575116,1363.8713489592283,0.2185902844025679
resolved,CODE_LOCALIZE,374,26.0,326.06267106835287,923.4807800693371,0.3530800836416664
resolved,TEST_LOCALIZE,374,49.0,289.6323811739668,775.4850191636749,0.37348546266737953
resolved,CODE_FIX,374,40.0,286.4618469515978,782.1168789956171,0.3662647548528397
resolved,VERIFY_PATCH,374,25.0,337.0706166329998,1016.7668832603306,0.3315121904365733
resolved,ISSUE_CLOSE,374,23.0,328.386124327173,897.5464078436851,0.3658709137013939
resolved,FINAL_REPORT,374,10.0,319.69554516339275,370.4614973336229,0.8629656454567738
unresolved,ISSUE_REPRODUCT,121,39.0,261.2869535522406,872.775656263699,0.29937470377071995
unresolved,TEST_SYNTHSIZE,121,34.0,291.89443287239254,1357.255286931681,0.21506229202633814
unresolved,CODE_LOCALIZE,121,28.0,318.5869899553456,941.1156492432289,0.33852055293260525
unresolved,TEST_LOCALIZE,121,51.0,286.1962643510246,784.3694735400767,0.364874302233285
unresolved,CODE_FIX,121,46.0,281.9569941654839,786.1381658251851,0.358660864492595
unresolved,VERIFY_PATCH,121,25.0,339.966571327856,1105.1855729319439,0.3076103956242928
unresolved,ISSUE_CLOSE,121,23.0,322.9690334759149,936.9245807582901,0.3447118798126988
unresolved,FINAL_REPORT,121,10.0,324.6923739227337,385.23453897558176,0.8428433618287648
