metric,pointbiserial_r,pointbiserial_p,spearman_rho,spearman_p
api_calls,-0.11489337777844238,0.010520638626358443,-0.10586493767838147,0.018472150573003346
n_messages,-0.10831845840315447,0.0159115461531137,-0.09841412709274994,0.02857086224022042
n_bash_calls,-0.11280054883124571,0.012027767459305267,-0.10397459567708453,0.020683393466828272
prompt_tokens,-0.13584082184941446,0.002456273202046049,-0.14395777890221123,0.001320420609988883
completion_tokens,-0.0896266844496051,0.04625717151210558,-0.11168571102874407,0.012906051563666466
runtime_sec,-0.11220777169620398,0.012487958267103527,-0.10750777455494202,0.016720883452087026
patch_churn,-0.19660182015100255,1.052338378361461e-05,-0.16683981207447635,0.00019244488217828672
patch_files,-0.07229460547119888,0.10816637820723271,-0.05109811251417703,0.25648912581974603
patch_hunks,-0.08113173909276762,0.07131322598938881,-0.03995765992605133,0.37502045505541454
phase_VERIFY_PATCH_giveup,-0.03904175291223181,0.3860742836236883,0.01468118962951048,0.7445547864953471
phase_VERIFY_PATCH_msgs,-0.03353337615057673,0.4566383411620625,0.04867603990268352,0.2797521190404458
phase_CODE_FIX_msgs,-0.11575354700442322,0.009951435420734714,-0.12201127570709193,0.00657021345962508
