instance_id,repo,resolved,failure_mode
astropy__astropy-12907,astropy/astropy,True,
astropy__astropy-13033,astropy/astropy,False,WRONG_FIX
astropy__astropy-13236,astropy/astropy,False,WRONG_FIX
astropy__astropy-13398,astropy/astropy,False,WRONG_FIX
astropy__astropy-13453,astropy/astropy,True,
astropy__astropy-13579,astropy/astropy,True,
astropy__astropy-13977,astropy/astropy,False,WRONG_FIX
astropy__astropy-14096,astropy/astropy,True,
astropy__astropy-14182,astropy/astropy,False,WRONG_FIX
astropy__astropy-14309,astropy/astropy,True,
astropy__astropy-14365,astropy/astropy,True,
astropy__astropy-14369,astropy/astropy,True,
astropy__astropy-14508,astropy/astropy,True,
astropy__astropy-14539,astropy/astropy,True,
astropy__astropy-14598,astropy/astropy,False,WRONG_FIX
astropy__astropy-14995,astropy/astropy,True,
astropy__astropy-7166,astropy/astropy,True,
astropy__astropy-7336,astropy/astropy,True,
astropy__astropy-7606,astropy/astropy,False,WRONG_FIX
astropy__astropy-7671,astropy/astropy,True,
astropy__astropy-8707,astropy/astropy,False,WRONG_FIX
astropy__astropy-8872,astropy/astropy,False,WRONG_FIX
django__django-10097,django/django,False,MISSING_ARTEFACT
django__django-10554,django/django,False,WRONG_FIX
django__django-10880,django/django,True,
django__django-10914,django/django,True,
django__django-10973,django/django,True,
django__django-10999,django/django,False,WRONG_FIX
django__django-11066,django/django,True,
django__django-11087,django/django,False,WRONG_FIX
django__django-11095,django/django,True,
django__django-11099,django/django,True,
django__django-11119,django/django,True,
django__django-11133,django/django,True,
django__django-11138,django/django,True,
django__django-11141,django/django,True,
django__django-11149,django/django,True,
django__django-11163,django/django,True,
django__django-11179,django/django,True,
django__django-11206,django/django,True,
django__django-11211,django/django,True,
django__django-11239,django/django,False,WRONG_FIX
django__django-11265,django/django,True,
django__django-11276,django/django,True,
django__django-11292,django/django,True,
django__django-11299,django/django,True,
django__django-11333,django/django,True,
django__django-11400,django/django,False,WRONG_FIX
django__django-11433,django/django,False,WRONG_FIX
django__django-11451,django/django,True,
django__django-11477,django/django,False,WRONG_FIX
django__django-11490,django/django,True,
django__django-11532,django/django,False,REGRESSION
django__django-11551,django/django,True,
django__django-11555,django/django,True,
django__django-11603,django/django,True,
django__django-11728,django/django,True,
django__django-11734,django/django,True,
django__django-11740,django/django,True,
django__django-11749,django/django,True,
django__django-11790,django/django,False,WRONG_FIX
django__django-11815,django/django,True,
django__django-11820,django/django,False,WRONG_FIX
django__django-11848,django/django,False,WRONG_FIX
django__django-11880,django/django,True,
django__django-11885,django/django,True,
django__django-11951,django/django,False,WRONG_FIX
django__django-11964,django/django,True,
django__django-11999,django/django,True,
django__django-12039,django/django,True,
django__django-12050,django/django,True,
django__django-12125,django/django,True,
django__django-12143,django/django,True,
django__django-12155,django/django,True,
django__django-12193,django/django,True,
django__django-12209,django/django,True,
django__django-12262,django/django,True,
django__django-12273,django/django,False,WRONG_FIX
django__django-12276,django/django,True,
django__django-12304,django/django,True,
django__django-12308,django/django,False,WRONG_FIX
django__django-12325,django/django,False,WRONG_FIX
django__django-12406,django/django,False,WRONG_FIX
django__django-12419,django/django,True,
django__django-12663,django/django,True,
django__django-12708,django/django,True,
django__django-12713,django/django,True,
django__django-12741,django/django,True,
django__django-12754,django/django,True,
django__django-12774,django/django,True,
django__django-12858,django/django,True,
django__django-12965,django/django,True,
django__django-13012,django/django,True,
django__django-13023,django/django,True,
django__django-13028,django/django,True,
django__django-13033,django/django,False,WRONG_FIX
django__django-13089,django/django,False,WRONG_FIX
django__django-13109,django/django,True,
django__django-13112,django/django,True,
django__django-13121,django/django,True,
django__django-13128,django/django,True,
django__django-13158,django/django,True,
django__django-13195,django/django,False,WRONG_FIX
django__django-13212,django/django,False,WRONG_FIX
django__django-13279,django/django,True,
django__django-13297,django/django,True,
django__django-13315,django/django,True,
django__django-13343,django/django,True,
django__django-13344,django/django,False,WRONG_FIX
django__django-13346,django/django,True,
django__django-13363,django/django,True,
django__django-13401,django/django,True,
django__django-13406,django/django,False,WRONG_FIX
django__django-13410,django/django,True,
django__django-13417,django/django,True,
django__django-13449,django/django,True,
django__django-13512,django/django,True,
django__django-13513,django/django,False,MISSING_ARTEFACT
django__django-13516,django/django,True,
django__django-13551,django/django,False,WRONG_FIX
django__django-13568,django/django,True,
django__django-13569,django/django,True,
django__django-13590,django/django,True,
django__django-13658,django/django,True,
django__django-13670,django/django,True,
django__django-13741,django/django,True,
django__django-13786,django/django,True,
django__django-13794,django/django,True,
django__django-13807,django/django,False,WRONG_FIX
django__django-13809,django/django,True,
django__django-13810,django/django,True,
django__django-13820,django/django,True,
django__django-13821,django/django,True,
django__django-13837,django/django,True,
