instance_id,repo,resolved,in_no_generation,in_no_logs,has_report,patch_exists,patch_is_None,patch_successfully_applied,resolved_in_report,FAIL_TO_PASS_success,FAIL_TO_PASS_failure,FAIL_TO_FAIL_success,FAIL_TO_FAIL_failure,PASS_TO_PASS_success,PASS_TO_PASS_failure,PASS_TO_FAIL_success,PASS_TO_FAIL_failure,has_patch_diff,patch_files,patch_hunks,patch_added,patch_removed,patch_churn,patch_is_empty,has_traj,exit_status,submission_present,n_messages,n_assistant,n_user,n_system,n_bash_calls,api_calls,prompt_tokens,completion_tokens,total_tokens,runtime_sec,mini_version,phase_ISSUE_REPRODUCT_msgs,phase_ISSUE_REPRODUCT_steps,phase_ISSUE_REPRODUCT_complete,phase_ISSUE_REPRODUCT_giveup,phase_ISSUE_REPRODUCT_visited,phase_TEST_SYNTHSIZE_msgs,phase_TEST_SYNTHSIZE_steps,phase_TEST_SYNTHSIZE_complete,phase_TEST_SYNTHSIZE_giveup,phase_TEST_SYNTHSIZE_visited,phase_CODE_LOCALIZE_msgs,phase_CODE_LOCALIZE_steps,phase_CODE_LOCALIZE_complete,phase_CODE_LOCALIZE_giveup,phase_CODE_LOCALIZE_visited,phase_TEST_LOCALIZE_msgs,phase_TEST_LOCALIZE_steps,phase_TEST_LOCALIZE_complete,phase_TEST_LOCALIZE_giveup,phase_TEST_LOCALIZE_visited,phase_CODE_FIX_msgs,phase_CODE_FIX_steps,phase_CODE_FIX_complete,phase_CODE_FIX_giveup,phase_CODE_FIX_visited,phase_VERIFY_PATCH_msgs,phase_VERIFY_PATCH_steps,phase_VERIFY_PATCH_complete,phase_VERIFY_PATCH_giveup,phase_VERIFY_PATCH_visited,phase_ISSUE_CLOSE_msgs,phase_ISSUE_CLOSE_steps,phase_ISSUE_CLOSE_complete,phase_ISSUE_CLOSE_giveup,phase_ISSUE_CLOSE_visited,phase_FINAL_REPORT_msgs,phase_FINAL_REPORT_steps,phase_FINAL_REPORT_complete,phase_FINAL_REPORT_giveup,phase_FINAL_REPORT_visited,phase_unknown_msgs,artefact_missing,all_phases_visited
astropy__astropy-12907,astropy/astropy,True,False,False,True,True,False,True,True,2,0,0,0,13,0,0,0,True,1,1,1,1,2,False,True,Submitted,True,567,267,289,11,256,479,5479708,89600,5569308,2907.583832502365,1.17.2,46,10,1,0,1,53,9,1,0,1,41,9,1,0,1,83,11,1,0,1,104,9,2,0,1,163,8,2,1,1,51,9,1,0,1,26,4,1,0,1,0,False,True
astropy__astropy-13033,astropy/astropy,False,False,False,True,True,False,True,False,0,1,0,0,20,0,0,0,True,1,1,8,3,11,False,True,Submitted,True,450,213,229,8,205,386,4521491,68294,4589785,2259.0522379875183,1.17.2,60,10,1,0,1,79,9,1,0,1,47,9,1,0,1,77,11,1,0,1,69,9,1,0,1,47,8,1,0,1,47,9,1,0,1,24,4,1,0,1,0,False,True
astropy__astropy-13236,astropy/astropy,False,False,False,True,True,False,True,False,0,2,0,0,644,0,0,0,True,2,2,11,3,14,False,True,Submitted,True,574,275,291,8,267,510,7113105,87590,7200695,2909.039191007614,1.17.2,64,10,1,0,1,85,9,1,0,1,57,9,1,0,1,125,11,1,0,1,111,9,1,0,1,57,8,1,0,1,55,9,1,0,1,20,4,1,0,1,0,False,True
astropy__astropy-13398,astropy/astropy,False,False,False,True,True,False,True,False,0,4,0,0,63,5,0,0,True,1,3,89,0,89,False,True,Submitted,True,586,281,297,8,273,522,8105834,108804,8214638,5151.90543961525,1.17.2,96,10,1,0,1,81,9,1,0,1,81,9,1,0,1,111,11,1,0,1,93,9,1,0,1,47,8,1,0,1,45,8,1,0,1,32,4,1,0,1,0,False,True
astropy__astropy-13453,astropy/astropy,True,False,False,True,True,False,True,True,1,0,0,0,9,0,0,0,True,1,4,35,5,40,False,True,Submitted,True,622,299,315,8,291,558,9455746,81265,9537011,2722.806045770645,1.17.2,66,10,1,0,1,61,9,1,0,1,79,9,1,0,1,77,11,1,0,1,209,8,1,0,1,51,8,1,0,1,55,9,1,0,1,24,4,1,0,1,0,False,True
astropy__astropy-13579,astropy/astropy,True,False,False,True,True,False,True,False,0,1,0,0,40,0,0,0,True,1,1,3,1,4,False,True,Submitted,True,733,350,372,11,339,645,9299027,118038,9417065,3747.1463689804077,1.17.2,62,10,1,0,1,55,9,1,0,1,49,9,1,0,1,89,11,1,0,1,214,9,2,0,1,193,8,2,1,1,47,9,1,0,1,24,4,1,0,1,0,False,True
astropy__astropy-13977,astropy/astropy,False,False,False,True,True,False,True,False,8,12,0,0,318,4,0,0,True,1,1,4,1,5,False,True,Submitted,True,474,225,241,8,217,410,5048550,71566,5120116,2472.9620566368103,1.17.2,62,10,1,0,1,65,9,1,0,1,51,9,1,0,1,95,11,1,0,1,71,9,1,0,1,51,8,1,0,1,49,9,1,0,1,30,4,1,0,1,0,False,True
astropy__astropy-14096,astropy/astropy,True,False,False,True,True,False,True,True,1,0,0,0,426,0,0,0,True,1,1,10,0,10,False,True,Submitted,True,426,201,217,8,192,361,3549929,94145,3644074,2205.8536705970764,1.17.2,58,10,1,0,1,57,9,1,0,1,67,9,1,0,1,71,11,1,0,1,57,9,1,0,1,49,8,1,0,1,39,9,1,0,1,28,4,1,0,1,0,False,True
astropy__astropy-14182,astropy/astropy,False,False,False,True,True,False,True,False,0,1,0,0,9,0,0,0,True,2,2,30,4,34,False,True,Submitted,True,560,268,284,8,259,495,6933652,89427,7023079,2648.940469264984,1.17.2,52,10,1,0,1,67,9,1,0,1,69,9,1,0,1,71,11,1,0,1,191,9,1,0,1,45,8,1,0,1,43,9,1,0,1,22,4,1,0,1,0,False,True
astropy__astropy-14309,astropy/astropy,True,False,False,True,True,False,True,True,1,0,0,0,141,0,0,0,True,4,4,13,4,17,False,True,Submitted,True,721,344,366,11,333,633,8185986,91202,8277188,3001.9051678180695,1.17.2,60,10,1,0,1,99,9,1,0,1,51,9,1,0,1,117,11,1,0,1,134,9,2,0,1,195,8,2,1,1,47,9,1,0,1,18,4,1,0,1,0,False,True
astropy__astropy-14365,astropy/astropy,True,False,False,True,True,False,True,True,1,0,0,0,8,0,0,0,True,1,2,2,2,4,False,True,Submitted,True,930,441,473,16,423,800,9746248,188414,9934662,5420.58828997612,1.17.2,66,10,1,0,1,69,9,1,0,1,51,9,1,0,1,99,11,1,0,1,246,9,4,0,1,330,8,4,3,1,47,9,1,0,1,22,4,1,0,1,0,False,True
astropy__astropy-14369,astropy/astropy,True,False,False,True,True,False,True,False,2,1,0,0,732,0,0,0,True,2,4,33,31,64,False,True,Submitted,True,510,243,259,8,235,446,5815070,73988,5889058,2991.9132919311523,1.17.2,68,10,1,0,1,67,9,1,0,1,63,9,1,0,1,89,11,1,0,1,91,9,1,0,1,47,8,1,0,1,57,9,1,0,1,28,4,1,0,1,0,False,True
astropy__astropy-14508,astropy/astropy,True,False,False,True,True,False,True,False,1,0,0,0,172,2,0,0,True,1,1,8,1,9,False,True,Submitted,True,787,377,399,11,364,696,10510036,153625,10663661,5078.509470462799,1.17.2,68,10,1,0,1,93,9,1,0,1,47,9,1,0,1,129,11,1,0,1,192,9,2,0,1,185,8,2,1,1,47,9,1,0,1,26,4,1,0,1,0,False,True
astropy__astropy-14539,astropy/astropy,True,False,False,True,True,False,True,True,2,0,0,0,46,0,0,0,True,1,1,21,10,31,False,True,Submitted,True,738,351,375,12,339,642,7765462,123245,7888707,3579.256571531296,1.17.2,58,10,1,0,1,89,9,1,0,1,55,9,1,0,1,117,11,1,0,1,106,9,2,0,1,240,8,4,0,1,49,9,1,0,1,24,4,1,0,1,0,False,True
astropy__astropy-14598,astropy/astropy,False,False,False,True,True,False,True,False,0,1,0,0,175,0,0,0,True,1,1,1,1,2,False,True,Submitted,True,610,293,309,8,285,546,7357420,91754,7449174,3610.402853012085,1.17.2,88,10,1,0,1,67,9,1,0,1,67,9,1,0,1,189,11,1,0,1,71,9,1,0,1,59,8,1,0,1,43,9,1,0,1,26,4,1,0,1,0,False,True
astropy__astropy-14995,astropy/astropy,True,False,False,True,True,False,True,True,1,0,0,0,179,0,0,0,True,1,1,2,0,2,False,True,Submitted,True,440,208,224,8,200,376,5368047,66441,5434488,2023.0187366008759,1.17.2,58,10,1,0,1,67,9,1,0,1,43,9,1,0,1,93,11,1,0,1,57,9,1,0,1,49,8,1,0,1,47,9,1,0,1,26,4,1,0,1,0,False,True
