qwen_consensus,kozuchi_resolved,n,api_calls_p50,api_calls_mean,runtime_sec_p50,runtime_sec_mean,patch_churn_p50,patch_churn_mean,phase_VERIFY_PATCH_giveup_p50,phase_VERIFY_PATCH_giveup_mean
0,False,82,518.0,625.9634146341464,2876.3706728219986,3869.462198367933,10.5,26.804878048780488,0.0,0.7317073170731707
0,True,35,546.0,686.8571428571429,3621.181755304337,4418.029902138029,13.0,22.17142857142857,0.0,0.7428571428571429
1,False,21,502.0,530.2380952380952,3207.3049762248997,3161.6207163560957,10.0,20.857142857142858,0.0,0.14285714285714285
1,True,39,528.0,578.6153846153846,3142.888068675995,3495.607146727733,10.0,20.846153846153847,0.0,0.38461538461538464
2,False,10,521.5,610.0,3140.072685480118,4046.1961628675463,11.5,22.2,0.0,0.0
2,True,37,542.0,602.6216216216217,3264.9614655971527,3752.8701138947463,10.0,17.72972972972973,0.0,0.32432432432432434
3,False,3,518.0,484.6666666666667,2456.91512298584,2767.328800678253,5.0,20.333333333333332,0.0,0.0
3,True,70,459.5,533.0857142857143,2577.9428712129593,3096.530704654966,4.0,8.242857142857142,0.0,0.5285714285714286
4,False,5,520.0,899.0,2496.461606025696,5110.450987005233,2.0,12.0,0.0,3.6
4,True,193,454.0,515.5284974093264,2616.565402030945,3033.326143117766,4.0,10.098445595854923,0.0,0.538860103626943
