instance_id,repo,frontier_consensus,any_frontier_resolves,api_calls,patch_churn,runtime_sec
django__django-11141,django/django,0,0,464,13,2024.0857319831848
django__django-16950,django/django,0,0,691,3,4433.084944725037
pylint-dev__pylint-7080,pylint-dev/pylint,0,0,776,51,3976.145574331284
astropy__astropy-14096,astropy/astropy,7,1,361,10,2205.8536705970764
astropy__astropy-14365,astropy/astropy,3,1,800,4,5420.58828997612
astropy__astropy-14369,astropy/astropy,2,1,446,64,2991.9132919311523
django__django-11138,django/django,5,1,1548,23,8990.731808423996
django__django-11555,django/django,6,1,1419,22,10392.159602165222
django__django-11728,django/django,5,1,505,28,2586.922988653183
django__django-11734,django/django,1,1,1570,27,15045.92188000679
django__django-11964,django/django,4,1,411,7,2117.9922156333923
django__django-12125,django/django,7,1,555,24,3621.181755304337
django__django-13112,django/django,7,1,491,7,2730.0755112171173
django__django-13128,django/django,7,1,941,75,4615.269230127335
django__django-14404,django/django,5,1,468,2,2456.829792022705
django__django-14631,django/django,6,1,520,4,2890.8556509017944
django__django-15280,django/django,4,1,701,6,5544.565700054169
django__django-15554,django/django,3,1,671,15,4214.866880893707
django__django-15563,django/django,1,1,1203,120,9034.853979587557
django__django-15732,django/django,2,1,486,9,2722.62123298645
django__django-15957,django/django,3,1,687,34,5108.901606798172
django__django-15987,django/django,7,1,386,1,2351.517155647278
django__django-16938,django/django,6,1,1209,28,6155.903942584992
matplotlib__matplotlib-20826,matplotlib/matplotlib,5,1,523,24,3279.274738550186
matplotlib__matplotlib-24177,matplotlib/matplotlib,6,1,779,9,4452.042951822281
matplotlib__matplotlib-25960,matplotlib/matplotlib,5,1,546,44,4259.749421596527
psf__requests-6028,psf/requests,4,1,538,22,2307.6810178756714
pydata__xarray-6938,pydata/xarray,3,1,436,2,2833.5766682624817
pylint-dev__pylint-6386,pylint-dev/pylint,7,1,513,6,2933.4824833869934
sphinx-doc__sphinx-7454,sphinx-doc/sphinx,6,1,728,5,4770.1086349487305
sphinx-doc__sphinx-9658,sphinx-doc/sphinx,4,1,394,7,2399.3178634643555
sympy__sympy-13031,sympy/sympy,6,1,476,8,2799.9154970645905
sympy__sympy-15599,sympy/sympy,4,1,531,18,3983.134979963303
sympy__sympy-17630,sympy/sympy,1,1,572,52,3505.3065950870514
sympy__sympy-21612,sympy/sympy,3,1,695,2,5474.61328625679
