submission_dir,name,org,os_model,os_system,resolved,rate,ci_lo,ci_hi,n_no_generation,n_no_logs
20251215_livesweagent_claude-opus-4-5,live-SWE-agent + Claude 4.5 Opus medium (20251101),['UIUC'],False,True,396,0.792,0.7542636965661735,0.8252836885345722,4,1
20251205_sonar-foundation-agent_claude-opus-4-5,Sonar Foundation Agent + Claude 4.5 Opus,['Sonar'],False,False,396,0.792,0.7542636965661735,0.8252836885345722,0,0
20250928_trae_doubao_seed_code,TRAE + Doubao-Seed-Code,ByteDance,False,True,394,0.788,0.7500478838671217,0.8215604959582715,2,0
20251127_openhands_claude-opus-4-5,20251127_openhands_claude-opus-4-5,,,,388,0.776,0.7374303350057959,0.8103610289935391,2,0
20251120_livesweagent_gemini-3-pro-preview,live-SWE-agent + Gemini 3 Pro Preview (2025-11-18),['UIUC'],False,True,387,0.774,0.7353316419726512,0.8084902193890076,2,1
20250804_epam-ai-run-claude-4-sonnet,EPAM AI/Run Developer Agent v20250719 + Claude 4 Sonnet,"EPAM Systems, Inc.",False,False,384,0.768,0.7290425916434946,0.8028707618051352,2,0
20250902_atlassian-rovo-dev,Atlassian Rovo Dev (2025-09-02),Atlassian,False,False,384,0.768,0.7290425916434946,0.8028707618051352,0,0
20250819_ACoder,ACoder,ACoder,False,False,382,0.764,0.7248556433848378,0.7991187047884393,0,0
20250901_warp,Warp,Warp,False,False,378,0.756,0.7164951928186016,0.7916011448039699,3,1
20250612_trae,TRAE + Claude Sonnet 4 + Opus 4 + Sonnet 3.7 + Gemini 2.5 Pro,TRAE,False,True,376,0.752,0.712321540426928,0.7878357919202911,1,0
20251103_sonar-foundation-agent_claude-sonnet-4-5,Sonar Foundation Agent + Claude 4.5 Sonnet,['Sonar'],False,False,374,0.748,0.7081521751849856,0.7840661518868807,3,0
20260326_kozuchi-mini-swe-agent_qwen3.5-27b,Kozuchi mini-swe-agent + Qwen3.5-27B,Fujitsu Research,True,False,374,0.748,0.7081521751849856,0.7840661518868807,0,0
20250731_harness_ai,Harness AI,Harness,False,False,374,0.748,0.7081521751849856,0.7840661518868807,0,0
20250915_JoyCode,JoyCode + Claude 4 Sonnet + GPT-4.1,JoyCode,False,True,373,0.746,0.7060690790801292,0.7821797453540609,0,0
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,Lingxi-v1.5_claude-4-sonnet-20250514,Lingxi,False,True,373,0.746,0.7060690790801292,0.7821797453540609,1,0
20251015_Prometheus_v1.2.1_gpt5,20251015_Prometheus_v1.2.1_gpt5,,,,372,0.744,0.7039870297179982,0.7802922920785154,1,0
20250603_Refact_Agent_claude-4-sonnet,Refact.ai Agent + Claude 4 Sonnet + o4-mini,['Refact.ai'],False,True,372,0.744,0.7039870297179982,0.7802922920785154,1,0
20251103_SalesforceAIResearch_SAGE_OpenHands,Salesforce AI Research SAGE (OpenHands),Salesforce AI Research,False,False,369,0.738,0.6977470830275749,0.7746237308559096,2,1
20250522_tools_claude-4-opus,Tools + Claude 4 Opus (2025-05-22),,False,False,366,0.732,0.6915162791308134,0.7689460268396422,0,0
20251021_SalesforceAIResearch_SAGE_bash_only,Salesforce AI Research SAGE (bash-only),Salesforce AI Research,False,False,365,0.73,0.6894413422589624,0.7670514610738167,0,1
20250522_tools_claude-4-sonnet,Tools + Claude 4 Sonnet (2025-05-22),,False,False,362,0.724,0.6832224280834737,0.7613618673362764,0,0
20250807_openhands_gpt5,OpenHands + GPT-5,OpenHands,False,True,359,0.718,0.6770122204516047,0.7556635670551164,1,0
20250710_bloop,Bloop,['Bloop AI'],False,False,356,0.712,0.6708105504245666,0.7499567291691255,0,0
20251014_Lingxi_kimi_k2,Lingxi v1.5 x Kimi K2,['Huawei'],True,True,356,0.712,0.6708105504245666,0.7499567291691255,1,0
20250929_Prometheus_v1.2_gpt5,20250929_Prometheus_v1.2_gpt5,,,,356,0.712,0.6708105504245666,0.7499567291691255,1,0
20250715_qodo_command,Qodo Command,Qodo,False,False,356,0.712,0.6708105504245666,0.7499567291691255,0,0
20250623_warp,Warp,Warp,False,False,355,0.71,0.6687451965475429,0.7480525804084729,3,3
20250611_moatless_claude-4-sonnet-20250514,Moatless Tools + Claude 4 Sonnet,Moatless AI,False,True,354,0.708,0.6666807678672768,0.7461475064510625,3,0
20250519_trae,TRAE,,False,False,353,0.706,0.6646172588288849,0.7442415128517782,0,0
20250610_augment_agent_v1,Augment Agent v1,,False,True,352,0.704,0.6625546639852158,0.7423346050577708,0,0
20250515_Refact_Agent,Refact.ai Agent,['Refact.ai'],False,True,352,0.704,0.6625546639852158,0.7423346050577708,1,0
20250524_openhands_claude_4_sonnet,OpenHands + Claude 4 Sonnet,OpenHands,False,True,352,0.704,0.6625546639852158,0.7423346050577708,0,1
20250519_devlo,devlo,['devlo'],False,False,351,0.702,0.6604929779945392,0.7404267884107711,0,0
20250430_zencoder_ai,Zencoder (2025-04-30),,False,False,350,0.7,0.6584321956183049,0.7385180681493292,1,0
20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,,,,348,0.696,0.6543133212578915,0.7346979372343898,0,1
20250930_zai_glm4-6,20250930_zai_glm4-6,,,,341,0.682,0.6399250009078324,0.7212997391207147,1,2
20250516_cortexa_o3,Nemotron-CORTEXA,NVIDIA,False,True,341,0.682,0.6399250009078324,0.7212997391207147,121,0
20250522_sweagent_claude-4-sonnet-20250514,SWE-agent + Claude 4 Sonnet,SWE-agent,False,True,333,0.666,0.6235325310800064,0.70593618784713,0,0
20250514_aime_coder,Aime-coder v1 + Anthopic Claude 3.7 Sonnet,ByteDance DevInfra,False,False,332,0.664,0.6214872238127971,0.704011992476663,0,0
20250415_openhands,OpenHands,OpenHands,False,True,329,0.658,0.6153562147365015,0.6982344936399296,0,1
20250316_augment_agent_v0,Augment Agent v0,,False,True,327,0.654,0.6112729345820145,0.6943787685190639,0,0
20250716_openhands_kimi_k2,OpenHands + Kimi K2,OpenHands,True,True,327,0.654,0.6112729345820145,0.6943787685190639,0,1
20250405_amazon-q-developer-agent-20250405-dev,Amazon Q Developer Agent (v20250405-dev),AWS,False,False,327,0.654,0.6112729345820145,0.6943787685190639,0,0
20250503_patchpilot-v1.1-o4-mini,PatchPilot-v1.1,,False,True,323,0.646,0.6031159974374982,0.6866576951128747,13,0
20250117_wandb_programmer_o1_crosscheck5,W&B Programmer O1 crosscheck5,,False,False,323,0.646,0.6031159974374982,0.6866576951128747,1,0
20250728_zai_glm4-5,20250728_zai_glm4-5,,,,321,0.642,0.5990422903652528,0.6827923969097673,0,1
20250206_agentscope,AgentScope,Alibaba,False,False,317,0.634,0.5909042812929842,0.6750523954313307,2,0
20250224_tools_claude-3-7-sonnet,Tools + Claude 3.7 Sonnet (2025-02-24),Anthropic,False,False,316,0.632,0.5888717221512443,0.6731154519353943,0,0
20250228_epam-ai-run-claude-3-5-sonnet,EPAM AI/Run Developer Agent v20250219 + Anthopic Claude 3.5 Sonnet,,False,False,314,0.628,0.5848089169844624,0.6692392518268235,4,4
20250110_blackboxai_agent_v1.1,Blackbox AI Agent,,False,False,314,0.628,0.5848089169844624,0.6692392518268235,20,0
20250225_sweagent_claude-3-7-sonnet,SWE-agent + Claude 3.7 Sonnet w/ Review Heavy,SWE-agent,False,True,312,0.624,0.5807491790386458,0.6653599844972874,2,0
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,CodeStory Midwit Agent + swe-search,,False,False,311,0.622,0.578720454120595,0.6634192067776619,45,0
20250203_openhands_4x_scaled,OpenHands + 4x Scaled (2024-02-03),OpenHands,False,True,304,0.608,0.5645405199032246,0.6498126225312978,0,2
20250901_entroPO_R2E_QwenCoder30BA3B_tts,EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct,['42-b3yond-6ug'],True,True,302,0.604,0.5604958403398934,0.6459182968192763,5,0
20250110_learn_by_interact_claude3.5,Learn-by-interact,Google,False,False,301,0.602,0.5584746121028343,0.6439700224186591,0,90
20250629_deepswerl_r2eagent_tts,DeepSWE-Preview + TTS(Bo16),['Agentica'],True,True,294,0.588,0.5443465916629446,0.6303115243948143,3,0
20241213_devlo,devlo,,False,False,291,0.582,0.5383026558892227,0.6244469522555073,0,0
20250410_cortexa,Nemotron-CORTEXA,NVIDIA,False,False,291,0.582,0.5383026558892227,0.6244469522555073,0,0
20241223_emergent,Emergent E1 (v2024-12-23),,False,False,286,0.572,0.5282438500160791,0.6146582449402691,0,0
20241208_gru,Gru(2024-12-08),,False,False,285,0.57,0.526234239578926,0.6126983527397459,0,0
20250924_artemis_agent_v2,Artemis Agent v2 (2025-09-24),['Turintech'],False,False,285,0.57,0.526234239578926,0.6126983527397459,5,7
20250405_swe-rizzo_claude37,SWE-Rizzo,,False,True,283,0.566,0.5222171593455476,0.6087764276977716,0,0
20241212_epam-ai-run-claude-3-5-sonnet,EPAM AI/Run Developer Agent v20241212 + Anthopic Claude 3.5 Sonnet,,False,False,277,0.554,0.5101829624692411,0.5969936087480201,9,0
20241202_amazon-q-developer-agent-20241202-dev,Amazon Q Developer Agent (v20241202-dev),AWS,False,False,275,0.55,0.5061772173891333,0.5930603485527753,1,0
