peer,family,weight_class,both,kozuchi_only,peer_only,neither,kozuchi_resolved,peer_resolved,gap,mcnemar_p,significant_05,holm_p,bh_fdr_q,sig_05_holm,sig_05_bh,cohens_h,odds_ratio,odds_ratio_lo,odds_ratio_hi,risk_diff,risk_diff_lo,risk_diff_hi
Skywork-SWE-32B,Other-32B,open,176,198,14,112,374,190,184,8.952669222122511e-43,True,1.9695872288669524e-41,7.162135377698009e-42,True,True,0.7613519501941948,14.142857142857142,8.232024946015425,26.344252135204712,0.368,,
SWE-agent + Devstral-Small (2507),Devstral,open,180,194,10,116,374,190,184,2.253504595066806e-45,True,5.408411028160335e-44,5.408411028160335e-44,True,True,0.7613519501941948,19.4,10.325130700872192,41.09827801289349,0.368,,
SWE-agent + SWE-agent-LM-32B,Other-32B,open,192,182,9,117,374,201,173,5.158322401431159e-43,True,1.1864141523291666e-41,6.189986881717391e-42,True,True,0.7162632253403258,20.22222222222222,10.420463034351036,44.935098978339745,0.346,,
DeepSWE-Preview,DeepSeek-32B,open,199,175,12,114,374,211,163,2.911564893315428e-38,True,6.114286275962399e-37,1.7469389359892567e-37,True,True,0.6756258664411632,14.583333333333334,8.139887977725634,28.766504363867455,0.326,,
Frogmini-14B,Other-14B,open,214,160,11,115,374,225,149,4.7269351796416056e-35,True,9.453870359283211e-34,2.268928886227971e-34,True,True,0.6191535203167913,14.545454545454545,7.913995138159146,29.725164661549588,0.298,,
OpenHands + Devstral-Small,Devstral,open,218,156,16,110,374,234,140,5.075516264680589e-30,True,9.135929276425061e-29,1.7401770050333447e-29,True,True,0.5830298705494252,9.75,5.818145247529828,17.480986857270143,0.27999999999999997,,
Skywork-SWE-32B +TTS(Bo8),Other-32B,open,220,154,15,111,374,235,139,3.124037274738944e-30,True,5.935670822003993e-29,1.2496149098955775e-29,True,True,0.5790221576005099,10.266666666666667,6.034072366207582,18.790165410352476,0.278,,
OpenHands (Qwen3-Coder-30B-A3B),Qwen-30B,open,245,129,13,113,374,258,116,3.464775561680408e-25,True,5.8901184548566935e-24,1.0394326685041225e-24,True,True,0.48698063530378066,9.923076923076923,5.602239041089006,19.140761026721197,0.23199999999999998,,
EntroPO+R2E (Qwen3-Coder-30B-A3B),Qwen-30B,open,249,125,12,114,374,261,113,7.0458837577401e-25,True,1.127341401238416e-23,1.87890233539736e-24,True,True,0.474971889438909,10.416666666666666,5.756499412883375,20.700843423687836,0.22599999999999998,,
Frogboss-32B,Other-32B,open,254,120,14,112,374,268,106,3.544310912344032e-22,True,5.3164663685160484e-21,8.506346189625677e-22,True,True,0.44692374558702785,8.571428571428571,4.9143403814989215,16.150531424003105,0.21199999999999997,,
