metric,value
N_canonical_verified,500.0
rows_in_csv,500.0
logs_present,495.0
trajs_present,495.0
resolved,374.0
patch_apply_failures,1.0
empty_patch_count,0.0
exit_status[Submitted],495.0
exit_status[__MISSING__],5.0
api_calls_mean,566.119191919192
api_calls_p50,490.0
api_calls_p95,1099.3
api_calls_max,1693.0
prompt_tokens_mean,7568015.985858586
prompt_tokens_p50,6200807.0
prompt_tokens_p95,16629770.79999998
prompt_tokens_max,36448270.0
completion_tokens_mean,116258.18585858586
completion_tokens_p50,83137.0
completion_tokens_p95,299756.1999999999
completion_tokens_max,1131055.0
total_tokens_mean,7684274.171717172
total_tokens_p50,6307189.0
total_tokens_p95,16970050.99999998
total_tokens_max,37579325.0
runtime_sec_mean,3414.1639449177364
runtime_sec_p50,2783.961581230164
runtime_sec_p95,6992.39582467077
runtime_sec_max,16301.921347856522
n_messages_mean,643.7818181818182
n_messages_p50,556.0
n_messages_p95,1274.6
n_messages_max,1957.0
n_bash_calls_mean,296.73939393939395
n_bash_calls_p50,257.0
n_bash_calls_p95,582.0
n_bash_calls_max,888.0
phase_ISSUE_REPRODUCT_visited_rate,1.0
phase_ISSUE_REPRODUCT_giveup_count,0.0
phase_ISSUE_REPRODUCT_complete_count,497.0
phase_TEST_SYNTHSIZE_visited_rate,1.0
phase_TEST_SYNTHSIZE_giveup_count,0.0
phase_TEST_SYNTHSIZE_complete_count,497.0
phase_CODE_LOCALIZE_visited_rate,1.0
phase_CODE_LOCALIZE_giveup_count,0.0
phase_CODE_LOCALIZE_complete_count,503.0
phase_TEST_LOCALIZE_visited_rate,1.0
phase_TEST_LOCALIZE_giveup_count,0.0
phase_TEST_LOCALIZE_complete_count,502.0
phase_CODE_FIX_visited_rate,1.0
phase_CODE_FIX_giveup_count,5.0
phase_CODE_FIX_complete_count,755.0
phase_VERIFY_PATCH_visited_rate,1.0
phase_VERIFY_PATCH_giveup_count,275.0
phase_VERIFY_PATCH_complete_count,716.0
phase_ISSUE_CLOSE_visited_rate,1.0
phase_ISSUE_CLOSE_giveup_count,0.0
phase_ISSUE_CLOSE_complete_count,500.0
phase_FINAL_REPORT_visited_rate,1.0
phase_FINAL_REPORT_giveup_count,0.0
phase_FINAL_REPORT_complete_count,499.0
