submission_dir,name,family,weight_class,resolved,rate,ci_lo,ci_hi,gap_vs_kozuchi
20260326_kozuchi-mini-swe-agent_qwen3.5-27b,Kozuchi mini-swe-agent + Qwen3.5-27B,Qwen-27B,open,374,0.748,0.7081521751849856,0.7840661518868807,0
20250901_entroPO_R2E_QwenCoder30BA3B_tts,EntroPO+R2E (Qwen3-Coder-30B-A3B) +TTS,Qwen-30B,open,302,0.604,0.5604958403398934,0.6459182968192763,72
20250901_entroPO_R2E_QwenCoder30BA3B,EntroPO+R2E (Qwen3-Coder-30B-A3B),Qwen-30B,open,261,0.522,0.47821548906951605,0.5654490399449237,113
20250805_openhands-Qwen3-Coder-30B-A3B-Instruct,OpenHands (Qwen3-Coder-30B-A3B),Qwen-30B,open,258,0.516,0.4722414639931954,0.5595145571082153,116
20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,OpenHands (Qwen3-Coder-480B-A35B),Qwen-480B,open,348,0.696,0.6543133212578915,0.7346979372343898,26
20250616_Skywork-SWE-32B+TTS_Bo8,Skywork-SWE-32B +TTS(Bo8),Other-32B,open,235,0.47,0.42664805151438,0.5138094089204749,139
20250616_Skywork-SWE-32B,Skywork-SWE-32B,Other-32B,open,190,0.38,0.3385223304668887,0.423307511272531,184
20250629_deepswerl_r2eagent_tts,DeepSWE-Preview +TTS(Bo16),DeepSeek-32B,open,294,0.588,0.5443465916629446,0.6303115243948143,80
20250629_deepswerl_r2eagent,DeepSWE-Preview,DeepSeek-32B,open,211,0.422,0.37946637465262023,0.46572302247800257,163
20250520_openhands_devstral_small,OpenHands + Devstral-Small,Devstral,open,234,0.468,0.4246740655847347,0.511813892212444,140
20250725_sweagent_devstral_small_2507,SWE-agent + Devstral-Small (2507),Devstral,open,190,0.38,0.3385223304668887,0.423307511272531,184
20250511_sweagent_lm_32b,SWE-agent + SWE-agent-LM-32B,Other-32B,open,201,0.402,0.35992874000256914,0.4455656307512903,173
20251110_frogboss-32b,Frogboss-32B,Other-32B,open,268,0.536,0.49217923414911574,0.5792718133290585,106
20251110_frogmini-14b,Frogmini-14B,Other-14B,open,225,0.45,0.40693965144722477,0.4938227826108669,149
20250728_zai_glm4-5,Z.AI GLM-4.5,GLM,open,321,0.642,0.5990422903652528,0.6827923969097673,53
20250930_zai_glm4-6,Z.AI GLM-4.6,GLM,open,341,0.682,0.6399250009078324,0.7212997391207147,33
20250716_openhands_kimi_k2,OpenHands + Kimi-K2,Kimi-K2,open,327,0.654,0.6112729345820145,0.6943787685190639,47
20251014_Lingxi_kimi_k2,Lingxi v1.5 + Kimi-K2,Kimi-K2,open,356,0.712,0.6708105504245666,0.7499567291691255,18
20251127_openhands_claude-opus-4-5,OpenHands + Claude-Opus-4.5,Frontier,closed,388,0.776,0.7374303350057959,0.8103610289935391,-14
20251215_livesweagent_claude-opus-4-5,live-SWE + Claude-Opus-4.5,Frontier,closed,396,0.792,0.7542636965661735,0.8252836885345722,-22
20251205_sonar-foundation-agent_claude-opus-4-5,Sonar + Claude-Opus-4.5,Frontier,closed,396,0.792,0.7542636965661735,0.8252836885345722,-22
20251103_sonar-foundation-agent_claude-sonnet-4-5,Sonar + Claude-Sonnet-4.5,Frontier,closed,374,0.748,0.7081521751849856,0.7840661518868807,0
20251120_livesweagent_gemini-3-pro-preview,live-SWE + Gemini-3-Pro,Frontier,closed,387,0.774,0.7353316419726512,0.8084902193890076,-13
20250807_openhands_gpt5,OpenHands + GPT-5,Frontier,closed,359,0.718,0.6770122204516047,0.7556635670551164,15
20250524_openhands_claude_4_sonnet,OpenHands + Claude-4-Sonnet,Frontier,closed,352,0.704,0.6625546639852158,0.7423346050577708,22
