repo,n,Kozuchi_resolved,Kozuchi_rate,EntroPO+R2E (Qwen3-Coder-30B-A3B) +TTS_resolved,EntroPO+R2E (Qwen3-Coder-30B-A3B) +TTS_rate,EntroPO+R2E (Qwen3-Coder-30B-A3B)_resolved,EntroPO+R2E (Qwen3-Coder-30B-A3B)_rate,OpenHands (Qwen3-Coder-30B-A3B)_resolved,OpenHands (Qwen3-Coder-30B-A3B)_rate,OpenHands (Qwen3-Coder-480B-A35B)_resolved,OpenHands (Qwen3-Coder-480B-A35B)_rate,Skywork-SWE-32B +TTS(Bo8)_resolved,Skywork-SWE-32B +TTS(Bo8)_rate,Skywork-SWE-32B_resolved,Skywork-SWE-32B_rate,DeepSWE-Preview +TTS(Bo16)_resolved,DeepSWE-Preview +TTS(Bo16)_rate,DeepSWE-Preview_resolved,DeepSWE-Preview_rate,OpenHands + Devstral-Small_resolved,OpenHands + Devstral-Small_rate,SWE-agent + Devstral-Small (2507)_resolved,SWE-agent + Devstral-Small (2507)_rate,SWE-agent + SWE-agent-LM-32B_resolved,SWE-agent + SWE-agent-LM-32B_rate,Frogboss-32B_resolved,Frogboss-32B_rate,Frogmini-14B_resolved,Frogmini-14B_rate,Z.AI GLM-4.5_resolved,Z.AI GLM-4.5_rate,Z.AI GLM-4.6_resolved,Z.AI GLM-4.6_rate,OpenHands + Kimi-K2_resolved,OpenHands + Kimi-K2_rate,Lingxi v1.5 + Kimi-K2_resolved,Lingxi v1.5 + Kimi-K2_rate
django/django,231,177,0.7662337662337663,133,0.5757575757575758,121,0.5238095238095238,125,0.5411255411255411,165,0.7142857142857143,115,0.49783549783549785,99,0.42857142857142855,134,0.5800865800865801,103,0.4458874458874459,117,0.5064935064935064,94,0.4069264069264069,95,0.41125541125541126,124,0.5367965367965368,113,0.48917748917748916,162,0.7012987012987013,163,0.7056277056277056,157,0.6796536796536796,171,0.7402597402597403
sympy/sympy,75,57,0.76,48,0.64,35,0.4666666666666667,40,0.5333333333333333,53,0.7066666666666667,31,0.41333333333333333,25,0.3333333333333333,45,0.6,28,0.37333333333333335,31,0.41333333333333333,28,0.37333333333333335,23,0.30666666666666664,44,0.5866666666666667,32,0.4266666666666667,47,0.6266666666666667,49,0.6533333333333333,53,0.7066666666666667,53,0.7066666666666667
sphinx-doc/sphinx,44,30,0.6818181818181818,23,0.5227272727272727,20,0.45454545454545453,17,0.38636363636363635,30,0.6818181818181818,12,0.2727272727272727,13,0.29545454545454547,22,0.5,15,0.3409090909090909,16,0.36363636363636365,7,0.1590909090909091,12,0.2727272727272727,20,0.45454545454545453,12,0.2727272727272727,23,0.5227272727272727,26,0.5909090909090909,26,0.5909090909090909,30,0.6818181818181818
matplotlib/matplotlib,34,23,0.6764705882352942,21,0.6176470588235294,15,0.4411764705882353,15,0.4411764705882353,20,0.5882352941176471,15,0.4411764705882353,9,0.2647058823529412,21,0.6176470588235294,11,0.3235294117647059,15,0.4411764705882353,15,0.4411764705882353,15,0.4411764705882353,16,0.47058823529411764,13,0.38235294117647056,16,0.47058823529411764,24,0.7058823529411765,20,0.5882352941176471,22,0.6470588235294118
scikit-learn/scikit-learn,32,27,0.84375,25,0.78125,25,0.78125,24,0.75,27,0.84375,22,0.6875,17,0.53125,24,0.75,21,0.65625,23,0.71875,18,0.5625,19,0.59375,26,0.8125,24,0.75,25,0.78125,27,0.84375,26,0.8125,28,0.875
astropy/astropy,22,13,0.5909090909090909,10,0.45454545454545453,8,0.36363636363636365,9,0.4090909090909091,10,0.45454545454545453,8,0.36363636363636365,4,0.18181818181818182,11,0.5,5,0.22727272727272727,8,0.36363636363636365,6,0.2727272727272727,9,0.4090909090909091,8,0.36363636363636365,6,0.2727272727272727,10,0.45454545454545453,12,0.5454545454545454,11,0.5,12,0.5454545454545454
pydata/xarray,22,18,0.8181818181818182,16,0.7272727272727273,14,0.6363636363636364,13,0.5909090909090909,17,0.7727272727272727,14,0.6363636363636364,7,0.3181818181818182,17,0.7727272727272727,11,0.5,11,0.5,8,0.36363636363636365,11,0.5,14,0.6363636363636364,12,0.5454545454545454,17,0.7727272727272727,16,0.7272727272727273,15,0.6818181818181818,19,0.8636363636363636
pytest-dev/pytest,19,16,0.8421052631578947,15,0.7894736842105263,13,0.6842105263157895,9,0.47368421052631576,15,0.7894736842105263,10,0.5263157894736842,9,0.47368421052631576,13,0.6842105263157895,11,0.5789473684210527,10,0.5263157894736842,7,0.3684210526315789,11,0.5789473684210527,11,0.5789473684210527,8,0.42105263157894735,14,0.7368421052631579,15,0.7894736842105263,12,0.631578947368421,15,0.7894736842105263
pylint-dev/pylint,10,3,0.3,3,0.3,2,0.2,2,0.2,3,0.3,4,0.4,2,0.2,2,0.2,2,0.2,2,0.2,4,0.4,1,0.1,3,0.3,2,0.2,4,0.4,3,0.3,3,0.3,1,0.1
psf/requests,8,8,1.0,7,0.875,7,0.875,3,0.375,6,0.75,3,0.375,4,0.5,4,0.5,3,0.375,0,0.0,2,0.25,4,0.5,2,0.25,2,0.25,1,0.125,4,0.5,2,0.25,3,0.375
mwaskom/seaborn,2,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,0.5,1,0.5,1,0.5
pallets/flask,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
