instance_id,repo,kozuchi,qwen_consensus,frontier_consensus,api_calls,runtime_sec,patch_churn,phase_VERIFY_PATCH_giveup,FAIL_TO_PASS_failure,PASS_TO_PASS_failure
astropy__astropy-12907,astropy/astropy,1,4,7,479,2907.583832502365,2,1,0,0
astropy__astropy-13033,astropy/astropy,0,0,1,386,2259.0522379875183,11,0,1,0
astropy__astropy-13236,astropy/astropy,0,0,1,510,2909.039191007614,14,0,2,0
astropy__astropy-13398,astropy/astropy,0,0,0,522,5151.90543961525,89,0,4,5
astropy__astropy-13453,astropy/astropy,1,4,7,558,2722.806045770645,40,0,0,0
astropy__astropy-13579,astropy/astropy,1,3,7,645,3747.146368980408,4,1,1,0
astropy__astropy-13977,astropy/astropy,0,0,0,410,2472.9620566368103,5,0,12,4
astropy__astropy-14096,astropy/astropy,1,0,7,361,2205.8536705970764,10,0,0,0
astropy__astropy-14182,astropy/astropy,0,0,2,495,2648.940469264984,34,0,1,0
astropy__astropy-14309,astropy/astropy,1,4,7,633,3001.905167818069,17,1,0,0
astropy__astropy-14365,astropy/astropy,1,0,3,800,5420.58828997612,4,3,0,0
astropy__astropy-14369,astropy/astropy,1,0,2,446,2991.9132919311523,64,0,1,0
astropy__astropy-14508,astropy/astropy,1,2,7,696,5078.509470462799,9,1,0,2
astropy__astropy-14539,astropy/astropy,1,4,6,642,3579.256571531296,31,0,0,0
astropy__astropy-14598,astropy/astropy,0,0,1,546,3610.402853012085,2,0,1,0
astropy__astropy-14995,astropy/astropy,1,4,7,376,2023.018736600876,2,0,0,0
astropy__astropy-7166,astropy/astropy,1,4,7,362,2193.600368976593,24,0,1,0
astropy__astropy-7336,astropy/astropy,1,4,7,423,2172.1665506362915,8,0,0,0
astropy__astropy-7606,astropy/astropy,0,0,0,377,2595.032717704773,5,0,0,0
astropy__astropy-7671,astropy/astropy,1,4,7,1091,4967.438626766205,6,10,0,0
astropy__astropy-8707,astropy/astropy,0,0,0,1100,6762.478876113892,75,3,0,0
astropy__astropy-8872,astropy/astropy,0,0,0,408,2755.810023546219,2,0,0,0
django__django-10097,django/django,0,2,4,0,0.0,0,0,0,0
django__django-10554,django/django,0,0,0,626,3236.329345703125,1,0,2,0
django__django-10880,django/django,1,4,7,484,2249.465179204941,2,0,0,0
django__django-10914,django/django,1,4,7,490,3365.3447177410126,4,0,0,0
django__django-10973,django/django,1,3,6,396,2796.651760816574,35,0,0,0
django__django-10999,django/django,0,0,0,314,1977.302225589752,2,0,2,0
django__django-11066,django/django,1,4,7,1063,5753.844320058823,2,9,0,0
django__django-11087,django/django,0,0,0,1693,10251.364704608915,11,9,1,0
django__django-11095,django/django,1,4,7,486,2613.628947496414,8,0,0,0
django__django-11099,django/django,1,4,7,350,2212.8400332927704,4,0,0,0
django__django-11119,django/django,1,3,7,430,2311.832043170929,2,0,0,0
django__django-11133,django/django,1,4,7,382,2080.9540688991547,2,0,0,0
django__django-11138,django/django,1,0,5,1548,8990.731808423996,23,7,1,0
django__django-11141,django/django,1,0,0,464,2024.0857319831848,13,0,0,1
django__django-11149,django/django,1,1,4,436,2548.548686265945,33,0,0,3
django__django-11163,django/django,1,4,7,390,1947.1961867809296,2,0,0,0
django__django-11179,django/django,1,4,7,414,2059.263281583786,1,0,0,0
django__django-11206,django/django,1,1,6,555,4333.83231139183,9,3,0,0
django__django-11211,django/django,1,3,7,604,3461.770076036453,6,0,0,0
django__django-11239,django/django,0,1,7,330,2014.2387177944183,17,0,1,0
django__django-11265,django/django,1,2,4,1448,7986.993262767792,10,0,0,0
django__django-11276,django/django,1,3,7,708,5586.409193515778,14,3,0,0
django__django-11292,django/django,1,3,7,472,2445.2675223350525,9,0,0,0
django__django-11299,django/django,1,4,7,510,2435.308874607086,2,0,0,0
django__django-11333,django/django,1,3,7,502,2924.1271913051605,9,0,0,0
django__django-11400,django/django,0,0,0,500,2499.645928382873,11,0,2,0
django__django-11433,django/django,0,0,4,491,2858.8207108974457,3,0,1,6
django__django-11451,django/django,1,3,7,458,2252.70703625679,2,0,0,0
django__django-11477,django/django,0,0,0,400,2371.992442369461,3,0,2,0
django__django-11490,django/django,1,3,4,504,3491.290853261948,1,0,0,0
django__django-11532,django/django,0,1,6,448,2426.5291423797607,2,0,0,18
django__django-11551,django/django,1,4,7,454,2618.567319869995,38,0,0,0
django__django-11555,django/django,1,0,6,1419,10392.159602165222,22,7,0,0
django__django-11603,django/django,1,4,7,416,2134.4192106723785,4,0,0,0
django__django-11728,django/django,1,0,5,505,2586.922988653183,28,0,0,0
django__django-11734,django/django,1,0,1,1570,15045.92188000679,27,0,1,0
django__django-11740,django/django,1,4,7,670,3379.0246963500977,20,0,0,0
django__django-11749,django/django,1,2,7,466,1930.82661986351,8,0,0,0
django__django-11790,django/django,0,0,3,643,3982.373330116272,17,0,2,0
django__django-11815,django/django,1,3,6,500,3190.2278106212616,5,0,0,0
django__django-11820,django/django,0,0,0,492,2485.049371957779,3,0,1,0
django__django-11848,django/django,0,1,6,348,2748.328471183777,5,0,2,0
django__django-11880,django/django,1,4,7,430,2181.7577590942383,1,0,0,0
django__django-11885,django/django,1,1,3,621,4937.826752662659,43,0,0,2
django__django-11951,django/django,0,4,7,453,2259.50283741951,2,0,0,0
django__django-11964,django/django,1,0,4,411,2117.9922156333923,7,0,0,0
django__django-11999,django/django,1,4,7,482,3298.4977033138275,16,0,0,0
django__django-12039,django/django,1,2,7,430,2191.1709818840027,12,0,0,0
django__django-12050,django/django,1,4,7,464,2529.461652994156,2,0,0,0
django__django-12125,django/django,1,0,7,555,3621.181755304337,24,0,0,0
django__django-12143,django/django,1,4,7,499,3021.6181461811066,2,0,0,0
django__django-12155,django/django,1,4,7,1324,7950.836613893509,42,6,0,0
django__django-12193,django/django,1,1,6,424,2539.242870092392,2,0,0,0
django__django-12209,django/django,1,4,7,774,9263.901722192764,6,1,0,0
django__django-12262,django/django,1,3,7,609,3459.78786611557,2,1,0,0
django__django-12273,django/django,0,0,2,556,2440.426216840744,18,0,0,0
django__django-12276,django/django,1,4,7,378,1926.0100305080412,3,0,0,0
django__django-12304,django/django,1,4,7,757,4303.653714418411,41,1,0,0
django__django-12308,django/django,0,2,2,573,3144.314875125885,15,0,2,0
django__django-12325,django/django,0,0,0,424,2576.250938653946,7,0,2,0
django__django-12406,django/django,0,0,0,486,2484.521518468857,8,0,2,0
