repo,n,selector_resolved,selector_rate,oracle_resolved,oracle_rate,regret,regret_share_of_n,regret_share_of_oracle
django/django,231,177,0.7662337662337663,193,0.8354978354978355,16,0.06926406926406926,0.08290155440414508
sympy/sympy,75,57,0.76,61,0.8133333333333334,4,0.05333333333333334,0.06557377049180328
sphinx-doc/sphinx,44,30,0.6818181818181818,30,0.6818181818181818,0,0.0,0.0
matplotlib/matplotlib,34,23,0.6764705882352942,26,0.7647058823529411,3,0.08823529411764706,0.11538461538461539
scikit-learn/scikit-learn,32,27,0.84375,28,0.875,1,0.03125,0.03571428571428571
astropy/astropy,22,13,0.5909090909090909,18,0.8181818181818182,5,0.22727272727272727,0.2777777777777778
pydata/xarray,22,18,0.8181818181818182,19,0.8636363636363636,1,0.045454545454545456,0.05263157894736842
pytest-dev/pytest,19,16,0.8421052631578947,17,0.8947368421052632,1,0.05263157894736842,0.058823529411764705
pylint-dev/pylint,10,3,0.3,5,0.5,2,0.2,0.4
psf/requests,8,8,1.0,8,1.0,0,0.0,0.0
mwaskom/seaborn,2,1,0.5,2,1.0,1,0.5,0.5
pallets/flask,1,1,1.0,1,1.0,0,0.0,0.0
