folder,name,verified,oss,site,is_target,total_instances,submitted_instances,completed_instances,resolved_instances_reported,resolved_instances,resolved_out_of_index,denominator,rate,ci_lo,ci_hi
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),True,True, https://github.com/multi-swe-bench/MSWE-agent,False,128,123,123,26,26,0,128,0.203125,0.14255738153005737,0.2809926865223076
20250329_MSWE-agent_Claude-3.7-Sonnet,MSWE-agent + Claude-3.7-Sonnet,True,True, https://github.com/multi-swe-bench/MSWE-agent,False,128,124,124,30,30,0,128,0.234375,0.16939357646740366,0.31483543178997553
20250329_MSWE-agent_DeepSeek-R1,MSWE-agent + DeepSeek-R1,True,True, https://github.com/multi-swe-bench/MSWE-agent,False,128,125,125,12,12,0,128,0.09375,0.05444380416780583,0.15672997316700937
20250329_MSWE-agent_DeepSeek-V3,MSWE-agent + DeepSeek-V3,True,True, https://github.com/multi-swe-bench/MSWE-agent,False,128,113,113,15,15,0,128,0.1171875,0.07231682321834759,0.18436615927022826
20250329_MSWE-agent_Doubao-1.5-pro,MSWE-agent + Doubao-1.5-pro,True,True, https://github.com/multi-swe-bench/MSWE-agent,False,128,120,120,9,9,0,128,0.0703125,0.03742976812156145,0.1282348040594931
20250329_MSWE-agent_GPT-4o-1120,MSWE-agent + GPT-4o-1120,True,True, https://github.com/multi-swe-bench/MSWE-agent,False,128,120,120,16,16,0,128,0.125,0.07842644609872867,0.19342627144110075
20250329_MSWE-agent_OpenAI-o1,MSWE-agent + OpenAI-o1,True,True, https://github.com/multi-swe-bench/MSWE-agent,False,128,121,121,28,28,0,128,0.21875,0.1559052405236318,0.29798429763124024
20250329_MSWE-agent_OpenAI-o3-mini-high,MSWE-agent + OpenAI-o3-mini-high,True,True, https://github.com/multi-swe-bench/MSWE-agent,False,128,120,120,21,21,0,128,0.1640625,0.10988331610777512,0.23781807668832206
20250329_MSWE-agent_Qwen2.5-72B-Instruct,MSWE-agent + Qwen2.5-72B-Instruct,True,True, https://github.com/multi-swe-bench/MSWE-agent,False,128,112,112,3,3,0,128,0.0234375,0.008002416334530887,0.06664374553900236
20250329_MagentLess_Claude-3.5-Sonnet(Oct),MagentLess + Claude-3.5-Sonnet(Oct),True,True,https://github.com/multi-swe-bench/MagentLess,False,128,112,112,19,19,0,128,0.1484375,0.09713463082600934,0.22022729186758075
20250329_MagentLess_Claude-3.7-Sonnet,MagentLess + Claude-3.7-Sonnet,True,True,https://github.com/multi-swe-bench/MagentLess,False,128,89,89,18,18,0,128,0.140625,0.09083969462761779,0.21135249301471873
