instance_id,repo,difficulty,models_resolved,model_count,solve_share
fasterxml__jackson-core-183,fasterxml/jackson-core,easy,33,42,0.7857142857142857
googlecontainertools__jib-4035,googlecontainertools/jib,medium,31,42,0.7380952380952381
fasterxml__jackson-databind-4486,fasterxml/jackson-databind,easy,30,42,0.7142857142857143
fasterxml__jackson-dataformat-xml-638,fasterxml/jackson-dataformat-xml,medium,29,42,0.6904761904761905
fasterxml__jackson-core-1142,fasterxml/jackson-core,easy,27,42,0.6428571428571429
fasterxml__jackson-databind-3860,fasterxml/jackson-databind,medium,27,42,0.6428571428571429
fasterxml__jackson-databind-1923,fasterxml/jackson-databind,easy,26,42,0.6190476190476191
google__gson-1093,google/gson,medium,25,42,0.5952380952380952
fasterxml__jackson-databind-3701,fasterxml/jackson-databind,easy,25,42,0.5952380952380952
fasterxml__jackson-databind-4311,fasterxml/jackson-databind,easy,25,42,0.5952380952380952
fasterxml__jackson-databind-4320,fasterxml/jackson-databind,easy,24,42,0.5714285714285714
googlecontainertools__jib-2688,googlecontainertools/jib,medium,24,42,0.5714285714285714
fasterxml__jackson-databind-4487,fasterxml/jackson-databind,easy,23,42,0.5476190476190477
fasterxml__jackson-databind-4360,fasterxml/jackson-databind,easy,22,42,0.5238095238095238
googlecontainertools__jib-2536,googlecontainertools/jib,medium,20,42,0.47619047619047616
fasterxml__jackson-databind-4050,fasterxml/jackson-databind,easy,19,42,0.4523809523809524
google__gson-1703,google/gson,medium,18,42,0.42857142857142855
fasterxml__jackson-core-1309,fasterxml/jackson-core,medium,18,42,0.42857142857142855
fasterxml__jackson-databind-4219,fasterxml/jackson-databind,easy,17,42,0.40476190476190477
fasterxml__jackson-databind-4015,fasterxml/jackson-databind,medium,16,42,0.38095238095238093
alibaba__fastjson2-2559,alibaba/fastjson2,medium,15,42,0.35714285714285715
fasterxml__jackson-core-566,fasterxml/jackson-core,medium,15,42,0.35714285714285715
fasterxml__jackson-databind-4468,fasterxml/jackson-databind,easy,14,42,0.3333333333333333
fasterxml__jackson-databind-4072,fasterxml/jackson-databind,easy,14,42,0.3333333333333333
google__gson-1391,google/gson,medium,14,42,0.3333333333333333
fasterxml__jackson-core-1053,fasterxml/jackson-core,medium,13,42,0.30952380952380953
fasterxml__jackson-core-891,fasterxml/jackson-core,medium,13,42,0.30952380952380953
fasterxml__jackson-databind-4426,fasterxml/jackson-databind,easy,12,42,0.2857142857142857
fasterxml__jackson-databind-3626,fasterxml/jackson-databind,medium,12,42,0.2857142857142857
fasterxml__jackson-databind-3625,fasterxml/jackson-databind,easy,12,42,0.2857142857142857
elastic__logstash-14970,elastic/logstash,medium,11,42,0.2619047619047619
fasterxml__jackson-databind-4230,fasterxml/jackson-databind,medium,11,42,0.2619047619047619
alibaba__fastjson2-2775,alibaba/fastjson2,medium,11,42,0.2619047619047619
google__gson-1555,google/gson,medium,10,42,0.23809523809523808
fasterxml__jackson-core-964,fasterxml/jackson-core,medium,10,42,0.23809523809523808
fasterxml__jackson-databind-4048,fasterxml/jackson-databind,medium,10,42,0.23809523809523808
fasterxml__jackson-databind-4641,fasterxml/jackson-databind,medium,10,42,0.23809523809523808
elastic__logstash-14981,elastic/logstash,medium,9,42,0.21428571428571427
fasterxml__jackson-databind-3851,fasterxml/jackson-databind,medium,8,42,0.19047619047619047
apache__dubbo-10638,apache/dubbo,medium,8,42,0.19047619047619047
