instance_id,repo,difficulty,resolved,in_results_submitted,in_results_completed,in_results_incomplete,in_results_empty_patch,in_results_error,has_report,report_valid,report_error_headline,fixed_tests,p2p_tests,f2p_tests,s2p_tests,n2p_tests,run_result_passed,run_result_failed,run_result_skipped,test_patch_result_passed,test_patch_result_failed,test_patch_result_skipped,fix_patch_result_passed,fix_patch_result_failed,fix_patch_result_skipped,has_fix_patch_run_log,patch_apply_failed,patch_apply_error_headline,has_patch_diff,patch_source,patch_files,patch_hunks,patch_added,patch_removed,patch_churn,patch_net,patch_is_empty,has_traj_file,has_traj,traj_is_stub,exit_status,submission_present,n_messages,n_assistant,n_user,n_system,n_bash_calls,api_calls,prompt_tokens,completion_tokens,total_tokens,runtime_sec,mini_version,phase_ISSUE_REPRODUCT_msgs,phase_ISSUE_REPRODUCT_steps,phase_ISSUE_REPRODUCT_complete,phase_ISSUE_REPRODUCT_giveup,phase_ISSUE_REPRODUCT_visited,phase_TEST_SYNTHSIZE_msgs,phase_TEST_SYNTHSIZE_steps,phase_TEST_SYNTHSIZE_complete,phase_TEST_SYNTHSIZE_giveup,phase_TEST_SYNTHSIZE_visited,phase_CODE_LOCALIZE_msgs,phase_CODE_LOCALIZE_steps,phase_CODE_LOCALIZE_complete,phase_CODE_LOCALIZE_giveup,phase_CODE_LOCALIZE_visited,phase_TEST_LOCALIZE_msgs,phase_TEST_LOCALIZE_steps,phase_TEST_LOCALIZE_complete,phase_TEST_LOCALIZE_giveup,phase_TEST_LOCALIZE_visited,phase_CODE_FIX_msgs,phase_CODE_FIX_steps,phase_CODE_FIX_complete,phase_CODE_FIX_giveup,phase_CODE_FIX_visited,phase_VERIFY_PATCH_msgs,phase_VERIFY_PATCH_steps,phase_VERIFY_PATCH_complete,phase_VERIFY_PATCH_giveup,phase_VERIFY_PATCH_visited,phase_ISSUE_CLOSE_msgs,phase_ISSUE_CLOSE_steps,phase_ISSUE_CLOSE_complete,phase_ISSUE_CLOSE_giveup,phase_ISSUE_CLOSE_visited,phase_FINAL_REPORT_msgs,phase_FINAL_REPORT_steps,phase_FINAL_REPORT_complete,phase_FINAL_REPORT_giveup,phase_FINAL_REPORT_visited,phase_unknown_msgs,patch_successfully_applied,artefact_missing,all_phases_visited
elastic__logstash-13825,elastic/logstash,hard,False,True,True,False,False,False,True,False,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,156,1,23,154,2,23,154,2,23,True,False,,True,logs/fix.patch,2,2,17,0,17,17,False,True,True,False,Submitted,True,524,250,266,8,242,460,6283070,71780,6354850,2547.047532558441,1.17.2,96,10,1,0,1,79,9,1,0,1,61,9,1,0,1,75,8,1,0,1,87,8,1,0,1,59,8,1,0,1,41,9,1,0,1,26,4,1,0,1,0,True,False,True
elastic__logstash-14571,elastic/logstash,hard,False,True,True,False,False,False,True,False,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,998,2,32,173,1,26,173,1,26,True,False,,True,logs/fix.patch,1,5,158,1,159,157,False,True,True,False,Submitted,True,739,353,375,11,341,650,10186913,141818,10328731,6314.143011569977,1.17.2,74,10,1,0,1,101,9,1,0,1,59,9,1,0,1,49,8,1,0,1,184,9,2,0,1,195,8,2,1,1,49,9,1,0,1,28,4,1,0,1,0,True,False,True
fasterxml__jackson-databind-4615,fasterxml/jackson-databind,medium,False,True,True,False,False,False,True,False,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,609,0,0,0,0,0,0,0,0,True,False,,True,logs/fix.patch,3,3,37,2,39,35,False,True,True,False,Submitted,True,558,267,283,8,259,494,5621416,65704,5687120,2809.5007903575897,1.17.2,62,10,1,0,1,99,9,1,0,1,81,9,1,0,1,73,8,1,0,1,97,9,1,0,1,47,8,1,0,1,73,9,1,0,1,26,4,1,0,1,0,True,False,True
googlecontainertools__jib-4035,googlecontainertools/jib,medium,False,True,True,False,False,False,True,False,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,58,20,15,60,7,15,0,0,0,True,True,error: patch failed: jib-core/src/test/java/com/google/cloud/tools/jib/registry/RegistryAuthenticatorTest.java:180,True,logs/fix.patch,2,2,76,2,78,74,False,True,True,False,Submitted,True,518,247,263,8,239,454,4899368,81392,4980760,2523.9385662078857,1.17.2,74,10,1,0,1,107,9,1,0,1,59,9,1,0,1,53,8,1,0,1,93,9,1,0,1,55,8,1,0,1,45,9,1,0,1,32,4,1,0,1,0,False,False,True
elastic__logstash-13930,elastic/logstash,hard,False,True,True,False,False,False,True,False,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,156,1,23,154,2,23,154,2,23,True,False,,True,logs/fix.patch,9,24,147,30,177,117,False,True,True,False,Submitted,True,638,307,323,8,299,574,9988808,85149,10073957,2879.180221557617,1.17.2,78,10,1,0,1,71,9,1,0,1,85,9,1,0,1,75,8,1,0,1,209,9,1,0,1,51,8,1,0,1,45,9,1,0,1,24,4,1,0,1,0,True,False,True
fasterxml__jackson-core-922,fasterxml/jackson-core,medium,False,True,True,False,False,False,True,False,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,166,0,0,166,1,0,0,0,0,True,False,,True,logs/fix.patch,4,13,14,14,28,0,False,True,True,False,Submitted,True,474,225,241,8,217,410,4108847,63033,4171880,3202.8779203891754,1.17.2,72,10,1,0,1,59,9,1,0,1,63,9,1,0,1,71,8,1,0,1,73,9,1,0,1,45,8,1,0,1,65,9,1,0,1,26,4,1,0,1,0,True,False,True
elastic__logstash-16681,elastic/logstash,medium,False,True,True,False,False,False,True,True,,3,1039,3,0,0,1120,2,30,1120,4,30,1042,0,21,True,False,,True,logs/fix.patch,1,3,17,10,27,7,False,True,True,False,Submitted,True,613,293,311,9,284,541,10376327,96406,10472733,7496.759082555771,1.17.2,102,10,1,0,1,85,9,1,0,1,53,9,1,0,1,77,8,1,0,1,97,9,1,0,1,114,8,2,0,1,55,9,1,0,1,30,4,1,0,1,0,True,False,True
elastic__logstash-16482,elastic/logstash,hard,False,True,True,False,False,False,True,False,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,1042,2,29,1050,6,29,1050,6,29,True,False,,True,logs/fix.patch,2,2,17,5,22,12,False,True,True,False,Submitted,True,630,303,319,8,295,566,6989801,85747,7075548,4520.371306419373,1.17.2,168,10,1,0,1,91,9,1,0,1,53,9,1,0,1,101,8,1,0,1,67,9,1,0,1,49,8,1,0,1,69,9,1,0,1,32,4,1,0,1,0,True,False,True
fasterxml__jackson-core-183,fasterxml/jackson-core,easy,True,True,True,False,False,False,True,True,,1,65,1,0,0,66,0,0,65,1,0,66,0,0,True,False,,True,logs/fix.patch,1,1,7,2,9,5,False,True,True,False,Submitted,True,530,253,269,8,245,466,4444161,61007,4505168,1957.8889195919037,1.17.2,64,10,1,0,1,85,9,1,0,1,83,9,1,0,1,85,8,1,0,1,75,9,1,0,1,51,8,1,0,1,51,9,1,0,1,36,4,1,0,1,0,True,False,True
fasterxml__jackson-databind-3560,fasterxml/jackson-databind,medium,False,True,True,False,False,False,True,False,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,588,0,0,587,1,0,587,1,0,True,False,,True,logs/fix.patch,4,14,94,18,112,76,False,True,True,False,Submitted,True,634,305,321,8,296,569,7604257,91753,7696010,2804.0080120563507,1.17.2,80,10,1,0,1,69,9,1,0,1,99,9,1,0,1,59,8,1,0,1,185,9,1,0,1,49,8,1,0,1,63,9,1,0,1,30,4,1,0,1,0,True,False,True
apache__dubbo-7041,apache/dubbo,medium,False,True,True,False,False,False,True,False,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,128,5,0,127,6,0,125,8,0,True,False,,True,logs/fix.patch,1,1,6,1,7,5,False,True,True,False,Submitted,True,530,253,269,8,245,466,4542976,60268,4603244,1935.2999923229218,1.17.2,56,10,1,0,1,57,9,1,0,1,79,9,1,0,1,87,8,1,0,1,99,9,1,0,1,71,8,1,0,1,53,9,1,0,1,28,4,1,0,1,0,True,False,True
alibaba__fastjson2-2097,alibaba/fastjson2,medium,False,True,True,False,False,False,True,False,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,2485,0,1,1742,1,1,1740,3,1,True,False,,True,logs/fix.patch,1,3,39,56,95,-17,False,True,True,False,Submitted,True,1104,536,558,10,511,1005,16185882,411585,16597467,8951.292974233627,1.17.2,84,10,1,0,1,105,9,1,0,1,567,9,1,0,1,101,8,1,0,1,127,9,1,0,1,43,8,1,0,1,53,9,1,0,1,24,4,1,0,1,0,True,False,True
