metric,value
rows_in_csv,128.0
resolved,41.0
report_valid,49.0
reports_present,128.0
trajectory_files_present,128.0
full_trajectories_present,127.0
stub_trajectories,1.0
patches_present,128.0
empty_patches,1.0
patch_apply_failures,3.0
report_valid_not_leaderboard_resolved,8.0
exit_status[Submitted],127.0
exit_status[ExcludedByStrictXcheck],1.0
api_calls_mean,604.9685039370079
api_calls_p50,529.0
api_calls_p95,995.9999999999999
api_calls_max,1745.0
prompt_tokens_mean,8130742.818897638
prompt_tokens_p50,6467864.0
prompt_tokens_p95,18534013.09999999
prompt_tokens_max,40265806.0
completion_tokens_mean,108136.29133858268
completion_tokens_p50,80748.0
completion_tokens_p95,244742.4
completion_tokens_max,561244.0
total_tokens_mean,8238879.11023622
total_tokens_p50,6537646.0
total_tokens_p95,18688442.899999995
total_tokens_max,40827050.0
runtime_sec_mean,4358.4043569921505
runtime_sec_p50,3330.363523244858
runtime_sec_p95,8843.349491834639
runtime_sec_max,35915.250383615494
n_messages_mean,678.4094488188977
n_messages_p50,594.0
n_messages_p95,1071.6
n_messages_max,1993.0
n_bash_calls_mean,315.4724409448819
n_bash_calls_p50,276.0
n_bash_calls_p95,509.49999999999994
n_bash_calls_max,919.0
phase_ISSUE_REPRODUCT_visited_rate,1.0
phase_ISSUE_REPRODUCT_giveup_count,0.0
phase_ISSUE_REPRODUCT_complete_count,127.0
phase_TEST_SYNTHSIZE_visited_rate,1.0
phase_TEST_SYNTHSIZE_giveup_count,0.0
phase_TEST_SYNTHSIZE_complete_count,127.0
phase_CODE_LOCALIZE_visited_rate,1.0
phase_CODE_LOCALIZE_giveup_count,0.0
phase_CODE_LOCALIZE_complete_count,128.0
phase_TEST_LOCALIZE_visited_rate,1.0
phase_TEST_LOCALIZE_giveup_count,0.0
phase_TEST_LOCALIZE_complete_count,130.0
phase_CODE_FIX_visited_rate,1.0
phase_CODE_FIX_giveup_count,0.0
phase_CODE_FIX_complete_count,173.0
phase_VERIFY_PATCH_visited_rate,1.0
phase_VERIFY_PATCH_giveup_count,48.0
phase_VERIFY_PATCH_complete_count,148.0
phase_ISSUE_CLOSE_visited_rate,1.0
phase_ISSUE_CLOSE_giveup_count,0.0
phase_ISSUE_CLOSE_complete_count,128.0
phase_FINAL_REPORT_visited_rate,1.0
phase_FINAL_REPORT_giveup_count,0.0
phase_FINAL_REPORT_complete_count,128.0
