folder,name,repo,n,our_resolved,peer_resolved,our_rate,peer_rate,delta_rate
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),alibaba/fastjson2,6,4,0,0.6666666666666666,0.0,0.6666666666666666
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),apache/dubbo,3,1,1,0.3333333333333333,0.3333333333333333,0.0
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),elastic/logstash,38,0,1,0.0,0.02631578947368421,-0.02631578947368421
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),fasterxml/jackson-core,18,8,3,0.4444444444444444,0.16666666666666666,0.2777777777777778
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),fasterxml/jackson-databind,42,20,12,0.47619047619047616,0.2857142857142857,0.19047619047619047
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),fasterxml/jackson-dataformat-xml,5,1,2,0.2,0.4,-0.2
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),google/gson,5,3,4,0.6,0.8,-0.2
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),googlecontainertools/jib,5,3,2,0.6,0.4,0.2
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),mockito/mockito,6,1,1,0.16666666666666666,0.16666666666666666,0.0
20250329_MSWE-agent_Claude-3.7-Sonnet,MSWE-agent + Claude-3.7-Sonnet,alibaba/fastjson2,6,4,1,0.6666666666666666,0.16666666666666666,0.5
20250329_MSWE-agent_Claude-3.7-Sonnet,MSWE-agent + Claude-3.7-Sonnet,apache/dubbo,3,1,1,0.3333333333333333,0.3333333333333333,0.0
20250329_MSWE-agent_Claude-3.7-Sonnet,MSWE-agent + Claude-3.7-Sonnet,elastic/logstash,38,0,0,0.0,0.0,0.0
