instance_id,repo,difficulty,resolved,report_valid,failure_mode,report_error_headline,patch_apply_failed,patch_apply_error_headline
elastic__logstash-13825,elastic/logstash,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-14571,elastic/logstash,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-4615,fasterxml/jackson-databind,medium,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
googlecontainertools__jib-4035,googlecontainertools/jib,medium,False,False,patch_apply_failed,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",True,error: patch failed: jib-core/src/test/java/com/google/cloud/tools/jib/registry/RegistryAuthenticatorTest.java:180
elastic__logstash-13930,elastic/logstash,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-core-922,fasterxml/jackson-core,medium,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-16681,elastic/logstash,medium,False,True,report_valid_not_leaderboard_resolved,,False,
elastic__logstash-16482,elastic/logstash,hard,False,False,regressed_passing_tests,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-core-183,fasterxml/jackson-core,easy,True,True,resolved,,False,
fasterxml__jackson-databind-3560,fasterxml/jackson-databind,medium,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
apache__dubbo-7041,apache/dubbo,medium,False,False,regressed_passing_tests,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",False,
alibaba__fastjson2-2097,alibaba/fastjson2,medium,False,False,regressed_passing_tests,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-core-566,fasterxml/jackson-core,medium,False,False,anomalous_test_pattern,"By comparing the test results before and after applying the fix patch, an anomalous pattern was detected. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-14027,elastic/logstash,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-17021,elastic/logstash,hard,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-core-729,fasterxml/jackson-core,hard,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
apache__dubbo-10638,apache/dubbo,medium,True,True,resolved,,False,
google__gson-1787,google/gson,medium,False,False,empty_patch,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
googlecontainertools__jib-2542,googlecontainertools/jib,medium,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
