repo,failure_mode,n,repo_unresolved,share_of_repo_unresolved
elastic/logstash,no_fixed_tests,20,38,0.5263157894736842
elastic/logstash,regressed_passing_tests,8,38,0.21052631578947367
elastic/logstash,report_valid_not_leaderboard_resolved,7,38,0.18421052631578946
elastic/logstash,no_fix_test_results,2,38,0.05263157894736842
elastic/logstash,anomalous_test_pattern,1,38,0.02631578947368421
fasterxml/jackson-databind,no_fix_test_results,12,22,0.5454545454545454
fasterxml/jackson-databind,no_fixed_tests,5,22,0.22727272727272727
fasterxml/jackson-databind,regressed_passing_tests,3,22,0.13636363636363635
fasterxml/jackson-databind,anomalous_test_pattern,2,22,0.09090909090909091
fasterxml/jackson-core,no_fix_test_results,4,10,0.4
fasterxml/jackson-core,no_fixed_tests,3,10,0.3
fasterxml/jackson-core,anomalous_test_pattern,2,10,0.2
fasterxml/jackson-core,patch_apply_failed,1,10,0.1
mockito/mockito,no_fixed_tests,3,5,0.6
mockito/mockito,regressed_passing_tests,2,5,0.4
fasterxml/jackson-dataformat-xml,no_fix_test_results,4,4,1.0
alibaba/fastjson2,no_fixed_tests,1,2,0.5
alibaba/fastjson2,regressed_passing_tests,1,2,0.5
apache/dubbo,patch_apply_failed,1,2,0.5
apache/dubbo,regressed_passing_tests,1,2,0.5
google/gson,empty_patch,1,2,0.5
google/gson,report_valid_not_leaderboard_resolved,1,2,0.5
googlecontainertools/jib,no_fixed_tests,1,2,0.5
googlecontainertools/jib,patch_apply_failed,1,2,0.5
