instance_id,repo,difficulty,our_resolved,peer_solve_count,our_unique_resolve,solved_by_any_peer,peer_folders
fasterxml__jackson-core-370,fasterxml/jackson-core,medium,True,0,True,False,
elastic__logstash-13825,elastic/logstash,hard,False,0,False,False,
elastic__logstash-14571,elastic/logstash,hard,False,0,False,False,
fasterxml__jackson-databind-4615,fasterxml/jackson-databind,medium,False,0,False,False,
elastic__logstash-13930,elastic/logstash,hard,False,0,False,False,
elastic__logstash-16482,elastic/logstash,hard,False,0,False,False,
fasterxml__jackson-databind-3560,fasterxml/jackson-databind,medium,False,0,False,False,
alibaba__fastjson2-2097,alibaba/fastjson2,medium,False,0,False,False,
elastic__logstash-14027,elastic/logstash,hard,False,0,False,False,
elastic__logstash-17021,elastic/logstash,hard,False,0,False,False,
fasterxml__jackson-core-729,fasterxml/jackson-core,hard,False,0,False,False,
google__gson-1787,google/gson,medium,False,0,False,False,
googlecontainertools__jib-2542,googlecontainertools/jib,medium,False,0,False,False,
fasterxml__jackson-databind-4365,fasterxml/jackson-databind,medium,False,0,False,False,
elastic__logstash-16079,elastic/logstash,easy,False,0,False,False,
elastic__logstash-15680,elastic/logstash,medium,False,0,False,False,
elastic__logstash-17020,elastic/logstash,hard,False,0,False,False,
elastic__logstash-14045,elastic/logstash,hard,False,0,False,False,
elastic__logstash-15925,elastic/logstash,medium,False,0,False,False,
elastic__logstash-13880,elastic/logstash,medium,False,0,False,False,
fasterxml__jackson-core-980,fasterxml/jackson-core,medium,False,0,False,False,
fasterxml__jackson-core-1204,fasterxml/jackson-core,medium,False,0,False,False,
fasterxml__jackson-dataformat-xml-531,fasterxml/jackson-dataformat-xml,hard,False,0,False,False,
fasterxml__jackson-dataformat-xml-644,fasterxml/jackson-dataformat-xml,medium,False,0,False,False,
fasterxml__jackson-databind-3621,fasterxml/jackson-databind,medium,False,0,False,False,
mockito__mockito-3424,mockito/mockito,hard,False,0,False,False,
fasterxml__jackson-databind-4325,fasterxml/jackson-databind,easy,False,0,False,False,
elastic__logstash-15008,elastic/logstash,hard,False,0,False,False,
elastic__logstash-14878,elastic/logstash,hard,False,0,False,False,
elastic__logstash-14898,elastic/logstash,hard,False,0,False,False,
elastic__logstash-14897,elastic/logstash,hard,False,0,False,False,
fasterxml__jackson-core-174,fasterxml/jackson-core,medium,False,0,False,False,
mockito__mockito-3220,mockito/mockito,hard,False,0,False,False,
elastic__logstash-17019,elastic/logstash,hard,False,0,False,False,
elastic__logstash-16569,elastic/logstash,hard,False,0,False,False,
fasterxml__jackson-databind-4013,fasterxml/jackson-databind,hard,False,0,False,False,
elastic__logstash-15241,elastic/logstash,medium,False,0,False,False,
fasterxml__jackson-databind-4132,fasterxml/jackson-databind,medium,False,0,False,False,
elastic__logstash-15969,elastic/logstash,hard,False,0,False,False,
elastic__logstash-16968,elastic/logstash,hard,False,0,False,False,
fasterxml__jackson-databind-3371,fasterxml/jackson-databind,hard,False,0,False,False,
mockito__mockito-3167,mockito/mockito,medium,False,0,False,False,
elastic__logstash-13902,elastic/logstash,hard,False,0,False,False,
elastic__logstash-15233,elastic/logstash,medium,False,0,False,False,
fasterxml__jackson-core-1172,fasterxml/jackson-core,medium,False,0,False,False,
elastic__logstash-14000,elastic/logstash,hard,False,0,False,False,
elastic__logstash-13931,elastic/logstash,hard,False,0,False,False,
elastic__logstash-13914,elastic/logstash,medium,False,0,False,False,
elastic__logstash-16195,elastic/logstash,hard,False,0,False,False,
elastic__logstash-15697,elastic/logstash,medium,False,0,False,False,
elastic__logstash-15000,elastic/logstash,hard,False,0,False,False,
elastic__logstash-13997,elastic/logstash,hard,False,0,False,False,
mockito__mockito-3133,mockito/mockito,hard,True,1,False,True,20260131_InfCode_GPT-5.2
fasterxml__jackson-databind-3509,fasterxml/jackson-databind,hard,False,1,False,True,20250329_MSWE-agent_Doubao-1.5-pro
fasterxml__jackson-databind-2036,fasterxml/jackson-databind,hard,False,1,False,True,20260131_InfCode_GPT-5.2
elastic__logstash-16579,elastic/logstash,hard,False,1,False,True,20260131_InfCode_GPT-5.2
fasterxml__jackson-databind-4159,fasterxml/jackson-databind,medium,False,1,False,True,20260131_InfCode_GPT-5.2
fasterxml__jackson-databind-3716,fasterxml/jackson-databind,hard,False,1,False,True,20260327_CodeArts-Agent_CodeArts-MiniMax-M2.5
elastic__logstash-15928,elastic/logstash,medium,False,1,False,True,20260131_InfCode_GPT-5.2
elastic__logstash-15964,elastic/logstash,easy,False,1,False,True,20260327_MSWE-Agent_CodeArts-MiniMax-M2.5
elastic__logstash-16094,elastic/logstash,hard,False,1,False,True,20260131_InfCode_GPT-5.2
mockito__mockito-3173,mockito/mockito,medium,False,1,False,True,20260131_InfCode_GPT-5.2
fasterxml__jackson-databind-4131,fasterxml/jackson-databind,medium,False,1,False,True,20251027_iSWE-OpenModels
fasterxml__jackson-databind-4087,fasterxml/jackson-databind,medium,False,1,False,True,20260131_InfCode_GPT-5.2
alibaba__fastjson2-1245,alibaba/fastjson2,easy,False,1,False,True,20260327_CodeArts-Agent_CodeArts-MiniMax-M2.5
apache__dubbo-7041,apache/dubbo,medium,False,2,False,True,20250329_MopenHands_DeepSeek-R1;20251201_iSWE_Agent
alibaba__fastjson2-82,alibaba/fastjson2,easy,True,2,False,True,20250329_MopenHands_DeepSeek-R1;20260327_CodeArts-Agent_CodeArts-MiniMax-M2.5
googlecontainertools__jib-4144,googlecontainertools/jib,medium,True,2,False,True,20250329_MSWE-agent_Claude-3.7-Sonnet;20251201_iSWE_Agent
fasterxml__jackson-core-1016,fasterxml/jackson-core,medium,False,2,False,True,20250426_MopenHands_Gemini-2.5-Pro;20260327_CodeArts-Agent_CodeArts-MiniMax-M2.5
fasterxml__jackson-databind-3666,fasterxml/jackson-databind,medium,False,2,False,True,20250329_MSWE-agent_GPT-4o-1120;20260131_InfCode_GPT-5.2
fasterxml__jackson-databind-4228,fasterxml/jackson-databind,hard,False,2,False,True,20260131_InfCode_GPT-5.2;20260327_CodeArts-Agent_CodeArts-MiniMax-M2.5
mockito__mockito-3129,mockito/mockito,easy,False,3,False,True,20250329_MSWE-agent_Claude-3.5-Sonnet(Oct);20251027_iSWE-OpenModels;20251201_iSWE_Agent
alibaba__fastjson2-2285,alibaba/fastjson2,medium,True,3,False,True,20251027_iSWE-OpenModels;20251201_iSWE_Agent;20260327_CodeArts-Agent_CodeArts-MiniMax-M2.5
elastic__logstash-14058,elastic/logstash,hard,False,3,False,True,20251201_iSWE_Agent;20260131_InfCode_GPT-5.2;20260327_CodeArts-Agent_CodeArts-MiniMax-M2.5
elastic__logstash-16681,elastic/logstash,medium,False,4,False,True,20250329_MSWE-agent_DeepSeek-V3;20251027_iSWE-OpenModels;20251201_iSWE_Agent;20260131_InfCode_GPT-5.2
fasterxml__jackson-databind-4469,fasterxml/jackson-databind,easy,True,4,False,True,20250329_MagentLess_Claude-3.5-Sonnet(Oct);20250426_MSWE-agent_Gemini-2.5-Pro;20251201_iSWE_Agent;20260327_CodeArts-Agent_CodeArts-MiniMax-M2.5
fasterxml__jackson-dataformat-xml-590,fasterxml/jackson-dataformat-xml,medium,False,4,False,True,20250329_MSWE-agent_OpenAI-o3-mini-high;20250329_MopenHands_Qwen2.5-72B-Instruct;20251027_iSWE-OpenModels;20260327_CodeArts-Agent_CodeArts-MiniMax-M2.5
fasterxml__jackson-core-922,fasterxml/jackson-core,medium,False,5,False,True,20251027_iSWE-OpenModels;20251201_iSWE_Agent;20260131_InfCode_GPT-5.2;20260327_CodeArts-Agent_CodeArts-MiniMax-M2.5;20260327_MSWE-Agent_CodeArts-MiniMax-M2.5
fasterxml__jackson-databind-4189,fasterxml/jackson-databind,easy,True,5,False,True,20250426_MSWE-agent_Gemini-2.5-Pro;20251201_iSWE_Agent;20260131_InfCode_GPT-5.2;20260327_CodeArts-Agent_CodeArts-MiniMax-M2.5;20260327_MSWE-Agent_CodeArts-MiniMax-M2.5
fasterxml__jackson-dataformat-xml-544,fasterxml/jackson-dataformat-xml,medium,False,5,False,True,20250329_MSWE-agent_Claude-3.5-Sonnet(Oct);20250426_MSWE-agent_Gemini-2.5-Pro;20260131_InfCode_GPT-5.2;20260327_CodeArts-Agent_CodeArts-MiniMax-M2.5;20260327_MSWE-Agent_CodeArts-MiniMax-M2.5
fasterxml__jackson-core-1208,fasterxml/jackson-core,medium,True,6,False,True,20250329_MSWE-agent_OpenAI-o1;20250329_MSWE-agent_OpenAI-o3-mini-high;20250426_MSWE-agent_Gemini-2.5-Pro;20250426_MopenHands_Gemini-2.5-Pro;20260131_InfCode_GPT-5.2;20260327_CodeArts-Agent_CodeArts-MiniMax-M2.5
apache__dubbo-11781,apache/dubbo,medium,False,6,False,True,20250329_MSWE-agent_Claude-3.7-Sonnet;20250329_MopenHands_Claude-3.5-Sonnet(Oct);20250329_MopenHands_Claude-3.7-Sonnet;20250426_MSWE-agent_Gemini-2.5-Pro;20250426_MagentLess_Doubao-1.5-thinking;20251027_iSWE-OpenModels
fasterxml__jackson-databind-4338,fasterxml/jackson-databind,easy,True,6,False,True,20250329_MSWE-agent_Claude-3.5-Sonnet(Oct);20250329_MSWE-agent_OpenAI-o1;20250329_MopenHands_Claude-3.7-Sonnet;20251201_iSWE_Agent;20260131_InfCode_GPT-5.2;20260327_CodeArts-Agent_CodeArts-MiniMax-M2.5
